pattern,numerator,denominator,power,time frame,occurred
"(1,)",22.0,26.0,0.011473485239964418,10,33.0
"(1,)",21.0,26.0,0.034131938667874805,15,33.0
"(1,)",26.0,26.0,4.225255037305369e-06,20,33.0
"(1,)",26.0,26.0,4.225255037305369e-06,30,33.0
"(1,)",21.0,24.0,0.006011893552812232,60,33.0
"(2,)",25.0,31.0,0.022919534266053455,10,33.0
"(2,)",25.0,31.0,0.022919534266053455,15,33.0
"(3,)",47.0,57.0,0.0009843114582947469,10,66.0
"(3,)",46.0,57.0,0.002652066132704022,15,66.0
"(3,)",48.0,56.0,0.0001320062186496916,20,66.0
"(3,)",44.0,50.0,6.246892380271085e-05,30,66.0
"(4,)",3.0,33.0,0.00023684156885891882,10,34.0
"(4,)",4.0,28.0,0.006060490122952733,15,34.0
"(1, 1)",18.0,21.0,0.016484934398194484,10,27.0
"(1, 1)",18.0,21.0,0.016484934398194484,15,27.0
"(1, 1)",21.0,21.0,4.178906403852619e-05,20,27.0
"(1, 1)",21.0,21.0,4.178906403852619e-05,30,27.0
"(1, 1)",20.0,21.0,0.0005763002184760189,60,27.0
"(1, 3)",22.0,26.0,0.011473485239964418,10,32.0
"(1, 3)",22.0,26.0,0.011473485239964418,15,32.0
"(1, 3)",26.0,26.0,4.225255037305369e-06,20,32.0
"(1, 3)",26.0,26.0,4.225255037305369e-06,30,32.0
"(1, 3)",21.0,24.0,0.006011893552812232,60,32.0
"(1, 5)",18.0,21.0,0.016484934398194484,10,27.0
"(1, 5)",18.0,21.0,0.016484934398194484,15,27.0
"(1, 5)",21.0,21.0,4.178906403852619e-05,20,27.0
"(1, 5)",21.0,21.0,4.178906403852619e-05,30,27.0
"(1, 5)",20.0,21.0,0.0005763002184760189,60,27.0
"(1, 7)",22.0,26.0,0.011473485239964418,10,32.0
"(1, 7)",22.0,26.0,0.011473485239964418,15,32.0
"(1, 7)",26.0,26.0,4.225255037305369e-06,20,32.0
"(1, 7)",26.0,26.0,4.225255037305369e-06,30,32.0
"(1, 7)",21.0,24.0,0.006011893552812232,60,32.0
"(2, 2)",17.0,20.0,0.022832486430135614,15,21.0
"(2, 3)",20.0,24.0,0.021283817168787602,10,26.0
"(2, 3)",20.0,24.0,0.021283817168787602,15,26.0
"(2, 4)",0.0,7.0,0.025232054368863263,1,7.0
"(3, 1)",22.0,25.0,0.004255965992592287,10,32.0
"(3, 1)",21.0,25.0,0.015669495134021893,15,32.0
"(3, 1)",25.0,25.0,6.681827637683693e-06,20,32.0
"(3, 1)",25.0,25.0,6.681827637683693e-06,30,32.0
"(3, 1)",20.0,23.0,0.00845540133136828,60,32.0
"(3, 2)",20.0,25.0,0.044863969714803546,10,26.0
"(3, 2)",21.0,25.0,0.015669495134021893,15,26.0
"(3, 3)",42.0,50.0,0.0008330194090858854,10,58.0
"(3, 3)",42.0,50.0,0.0008330194090858854,15,58.0
"(3, 3)",44.0,50.0,6.246892380271085e-05,20,58.0
"(3, 3)",42.0,46.0,1.0580612507745289e-05,30,58.0
"(3, 4)",0.0,7.0,0.025232054368863263,1,7.0
"(3, 5)",26.0,31.0,0.007967000846991644,20,39.0
"(3, 5)",26.0,28.0,0.00026204798766723235,30,39.0
"(3, 5)",21.0,24.0,0.006011893552812232,60,39.0
"(3, 7)",44.0,57.0,0.014262802642730126,10,65.0
"(3, 7)",44.0,57.0,0.014262802642730126,15,65.0
"(3, 7)",45.0,56.0,0.003437806518097562,20,65.0
"(3, 7)",43.0,49.0,8.766402037677501e-05,30,65.0
"(4, 4)",1.0,26.0,7.05527152475201e-05,10,27.0
"(4, 4)",2.0,21.0,0.00383922117203604,15,27.0
"(4, 4)",0.0,7.0,0.025232054368863263,60,27.0
"(4, 5)",1.0,26.0,7.05527152475201e-05,10,27.0
"(4, 5)",2.0,21.0,0.00383922117203604,15,27.0
"(4, 5)",0.0,7.0,0.025232054368863263,60,27.0
"(4, 6)",6.0,32.0,0.01742231244810067,10,34.0
"(4, 6)",0.0,8.0,0.016043844452498648,60,34.0
"(4, 7)",6.0,32.0,0.01742231244810067,10,34.0
"(4, 7)",0.0,8.0,0.016043844452498648,60,34.0
"(5, 1)",18.0,21.0,0.016484934398194484,10,27.0
"(5, 1)",18.0,21.0,0.016484934398194484,15,27.0
"(5, 1)",21.0,21.0,4.178906403852619e-05,20,27.0
"(5, 1)",21.0,21.0,4.178906403852619e-05,30,27.0
"(5, 1)",20.0,21.0,0.0005763002184760189,60,27.0
"(5, 3)",27.0,32.0,0.005865820491189636,10,39.0
"(5, 3)",26.0,32.0,0.017422312448100667,15,39.0
"(5, 3)",29.0,31.0,8.000232908983395e-05,20,39.0
"(5, 3)",27.0,29.0,0.00017680043967313957,30,39.0
"(5, 3)",21.0,25.0,0.015669495134021893,60,39.0
"(5, 4)",1.0,26.0,7.05527152475201e-05,10,27.0
"(5, 4)",2.0,21.0,0.00383922117203604,15,27.0
"(5, 4)",0.0,7.0,0.025232054368863263,60,27.0
"(5, 6)",1.0,11.0,0.03247577593790316,60,39.0
"(6, 2)",21.0,26.0,0.034131938667874805,10,28.0
"(6, 2)",21.0,26.0,0.034131938667874805,15,28.0
"(6, 3)",25.0,30.0,0.01077060086306573,10,33.0
"(6, 3)",24.0,30.0,0.0299826875675356,15,33.0
"(6, 4)",3.0,33.0,0.00023684156885891882,10,34.0
"(6, 4)",4.0,28.0,0.006060490122952733,15,34.0
"(6, 5)",7.0,37.0,0.011846990559814655,10,39.0
"(6, 5)",7.0,32.0,0.04333778673273531,15,39.0
"(6, 5)",1.0,10.0,0.047477096216215924,60,39.0
"(7, 1)",22.0,25.0,0.004255965992592287,10,32.0
"(7, 1)",21.0,25.0,0.015669495134021893,15,32.0
"(7, 1)",25.0,25.0,6.681827637683693e-06,20,32.0
"(7, 1)",25.0,25.0,6.681827637683693e-06,30,32.0
"(7, 1)",20.0,23.0,0.00845540133136828,60,32.0
"(7, 2)",25.0,31.0,0.022919534266053455,10,33.0
"(7, 2)",25.0,31.0,0.022919534266053455,15,33.0
"(7, 3)",47.0,56.0,0.0004402852631462938,10,65.0
"(7, 3)",46.0,56.0,0.0013006097586137487,15,65.0
"(7, 3)",47.0,55.0,0.00018068185725441822,20,65.0
"(7, 3)",43.0,49.0,8.766402037677501e-05,30,65.0
"(7, 4)",3.0,33.0,0.00023684156885891882,10,34.0
"(7, 4)",4.0,28.0,0.006060490122952733,15,34.0
"(1, 1, 1)",17.0,19.0,0.008030615157419435,10,24.0
"(1, 1, 1)",17.0,19.0,0.008030615157419435,15,24.0
"(1, 1, 1)",19.0,19.0,0.00010450618610236765,20,24.0
"(1, 1, 1)",19.0,19.0,0.00010450618610236765,30,24.0
"(1, 1, 1)",19.0,19.0,0.00010450618610236765,60,24.0
"(1, 1, 3)",19.0,21.0,0.0038392211720360407,10,26.0
"(1, 1, 3)",18.0,21.0,0.016484934398194484,15,26.0
"(1, 1, 3)",21.0,21.0,4.178906403852619e-05,20,26.0
"(1, 1, 3)",21.0,21.0,4.178906403852619e-05,30,26.0
"(1, 1, 3)",20.0,21.0,0.0005763002184760189,60,26.0
"(1, 1, 5)",17.0,19.0,0.008030615157419435,10,24.0
"(1, 1, 5)",17.0,19.0,0.008030615157419435,15,24.0
"(1, 1, 5)",19.0,19.0,0.00010450618610236765,20,24.0
"(1, 1, 5)",19.0,19.0,0.00010450618610236765,30,24.0
"(1, 1, 5)",19.0,19.0,0.00010450618610236765,60,24.0
"(1, 1, 7)",19.0,21.0,0.0038392211720360407,10,26.0
"(1, 1, 7)",18.0,21.0,0.016484934398194484,15,26.0
"(1, 1, 7)",21.0,21.0,4.178906403852619e-05,20,26.0
"(1, 1, 7)",21.0,21.0,4.178906403852619e-05,30,26.0
"(1, 1, 7)",20.0,21.0,0.0005763002184760189,60,26.0
"(1, 3, 1)",18.0,20.0,0.005563636611966736,10,25.0
"(1, 3, 1)",18.0,20.0,0.005563636611966736,15,25.0
"(1, 3, 1)",20.0,20.0,6.608502560386678e-05,20,25.0
"(1, 3, 1)",20.0,20.0,6.608502560386678e-05,30,25.0
"(1, 3, 1)",19.0,20.0,0.0008729293960723854,60,25.0
"(1, 3, 2)",6.0,6.0,0.03952199104714706,1,6.0
"(1, 3, 2)",6.0,6.0,0.03952199104714706,30,6.0
"(1, 3, 3)",21.0,26.0,0.034131938667874805,5,31.0
"(1, 3, 3)",23.0,26.0,0.003000745253918872,10,31.0
"(1, 3, 3)",22.0,26.0,0.011473485239964418,15,31.0
"(1, 3, 3)",25.0,26.0,7.055271524752006e-05,20,31.0
"(1, 3, 3)",26.0,26.0,4.225255037305369e-06,30,31.0
"(1, 3, 3)",21.0,24.0,0.006011893552812232,60,31.0
"(1, 3, 5)",18.0,20.0,0.005563636611966736,10,25.0
"(1, 3, 5)",18.0,20.0,0.005563636611966736,15,25.0
"(1, 3, 5)",20.0,20.0,6.608502560386678e-05,20,25.0
"(1, 3, 5)",20.0,20.0,6.608502560386678e-05,30,25.0
"(1, 3, 5)",19.0,20.0,0.0008729293960723854,60,25.0
