pattern,numerator,denominator,power,time frame,occurred
"(1,)",20.0,25.0,0.044863969714803546,10,33.0
"(1,)",22.0,23.0,0.00024987652684583796,15,33.0
"(1,)",22.0,23.0,0.00024987652684583796,20,33.0
"(1,)",18.0,22.0,0.03856590681803681,30,33.0
"(1,)",17.0,17.0,0.0002613427077912203,60,33.0
"(3,)",22.0,26.0,0.011473485239964418,60,66.0
"(4,)",0.0,31.0,4.2720932128340573e-07,30,34.0
"(4,)",0.0,14.0,0.0010333215625969077,60,34.0
"(6,)",10.0,48.0,0.010660560328193876,30,67.0
"(1, 1)",17.0,19.0,0.008030615157419435,10,26.0
"(1, 1)",18.0,18.0,0.0001652640476289369,15,26.0
"(1, 1)",17.0,18.0,0.0019907585907123207,20,26.0
"(1, 1)",15.0,17.0,0.016506253439897832,30,26.0
"(1, 1)",15.0,15.0,0.0006535011082311695,60,26.0
"(1, 3)",21.0,24.0,0.006011893552812232,10,32.0
"(1, 3)",22.0,23.0,0.00024987652684583796,15,32.0
"(1, 3)",21.0,23.0,0.0018088375858068544,20,32.0
"(1, 3)",16.0,17.0,0.002996050491241571,60,32.0
"(1, 5)",17.0,19.0,0.008030615157419435,10,26.0
"(1, 5)",18.0,18.0,0.0001652640476289369,15,26.0
"(1, 5)",17.0,18.0,0.0019907585907123207,20,26.0
"(1, 5)",15.0,17.0,0.016506253439897832,30,26.0
"(1, 5)",15.0,15.0,0.0006535011082311695,60,26.0
"(1, 7)",21.0,24.0,0.006011893552812232,10,32.0
"(1, 7)",22.0,23.0,0.00024987652684583796,15,32.0
"(1, 7)",21.0,23.0,0.0018088375858068544,20,32.0
"(1, 7)",16.0,17.0,0.002996050491241571,60,32.0
"(3, 1)",20.0,24.0,0.021283817168787602,10,32.0
"(3, 1)",22.0,22.0,2.6425387475462698e-05,15,32.0
"(3, 1)",21.0,22.0,0.0003797899484259235,20,32.0
"(3, 1)",16.0,16.0,0.00041327091798290647,60,32.0
"(3, 3)",21.0,24.0,0.006011893552812232,60,59.0
"(3, 5)",24.0,28.0,0.006060490122952731,15,38.0
"(3, 5)",23.0,26.0,0.003000745253918872,20,38.0
"(3, 5)",16.0,18.0,0.011541031645740203,60,38.0
"(3, 7)",21.0,26.0,0.034131938667874805,60,65.0
"(4, 4)",5.0,27.0,0.025802152744838998,20,28.0
"(4, 4)",0.0,27.0,2.6718405120410535e-06,30,28.0
"(4, 4)",0.0,12.0,0.002582682040683344,60,28.0
"(4, 5)",5.0,27.0,0.025802152744838998,20,28.0
"(4, 5)",0.0,27.0,2.6718405120410535e-06,30,28.0
"(4, 5)",0.0,12.0,0.002582682040683344,60,28.0
"(4, 6)",2.0,31.0,8.000232908983398e-05,30,34.0
"(4, 6)",0.0,13.0,0.0016337524646917682,60,34.0
"(4, 7)",2.0,31.0,8.000232908983398e-05,30,34.0
"(4, 7)",0.0,13.0,0.0016337524646917682,60,34.0
"(5, 1)",17.0,19.0,0.008030615157419435,10,26.0
"(5, 1)",18.0,18.0,0.0001652640476289369,15,26.0
"(5, 1)",17.0,18.0,0.0019907585907123207,20,26.0
"(5, 1)",15.0,17.0,0.016506253439897832,30,26.0
"(5, 1)",15.0,15.0,0.0006535011082311695,60,26.0
"(5, 3)",24.0,28.0,0.006060490122952731,15,38.0
"(5, 3)",23.0,27.0,0.008358557521513427,20,38.0
"(5, 3)",16.0,18.0,0.011541031645740203,60,38.0
"(5, 4)",5.0,27.0,0.025802152744838998,20,28.0
"(5, 4)",0.0,27.0,2.6718405120410535e-06,30,28.0
"(5, 4)",0.0,12.0,0.002582682040683344,60,28.0
"(5, 6)",4.0,35.0,0.0005716564018418367,30,40.0
"(5, 6)",1.0,15.0,0.006730628378082985,60,40.0
"(6, 4)",0.0,31.0,4.2720932128340573e-07,30,34.0
"(6, 4)",0.0,14.0,0.0010333215625969077,60,34.0
"(6, 5)",2.0,35.0,1.6044758434074432e-05,30,40.0
"(6, 5)",1.0,15.0,0.006730628378082985,60,40.0
"(6, 6)",8.0,44.0,0.004692520612983641,30,61.0
"(6, 7)",10.0,48.0,0.010660560328193876,30,67.0
"(7, 1)",20.0,24.0,0.021283817168787602,10,32.0
"(7, 1)",22.0,22.0,2.6425387475462698e-05,15,32.0
"(7, 1)",21.0,22.0,0.0003797899484259235,20,32.0
"(7, 1)",16.0,16.0,0.00041327091798290647,60,32.0
"(7, 3)",21.0,25.0,0.015669495134021893,60,65.0
"(7, 4)",0.0,31.0,4.2720932128340573e-07,30,34.0
"(7, 4)",0.0,14.0,0.0010333215625969077,60,34.0
"(7, 6)",10.0,48.0,0.010660560328193876,30,67.0
"(1, 1, 1)",14.0,16.0,0.023481460072180015,5,21.0
"(1, 1, 1)",15.0,15.0,0.0006535011082311695,10,21.0
"(1, 1, 1)",15.0,15.0,0.0006535011082311695,15,21.0
"(1, 1, 1)",15.0,15.0,0.0006535011082311695,20,21.0
"(1, 1, 1)",14.0,14.0,0.0010333215625969077,30,21.0
"(1, 1, 1)",14.0,14.0,0.0010333215625969077,60,21.0
"(1, 1, 3)",18.0,18.0,0.0001652640476289369,10,25.0
"(1, 1, 3)",18.0,18.0,0.0001652640476289369,15,25.0
"(1, 1, 3)",17.0,18.0,0.0019907585907123207,20,25.0
"(1, 1, 3)",15.0,16.0,0.004497184152203379,30,25.0
"(1, 1, 3)",15.0,15.0,0.0006535011082311695,60,25.0
"(1, 1, 5)",14.0,16.0,0.023481460072180015,5,21.0
"(1, 1, 5)",15.0,15.0,0.0006535011082311695,10,21.0
"(1, 1, 5)",15.0,15.0,0.0006535011082311695,15,21.0
"(1, 1, 5)",15.0,15.0,0.0006535011082311695,20,21.0
"(1, 1, 5)",14.0,14.0,0.0010333215625969077,30,21.0
"(1, 1, 5)",14.0,14.0,0.0010333215625969077,60,21.0
"(1, 1, 7)",18.0,18.0,0.0001652640476289369,10,25.0
"(1, 1, 7)",18.0,18.0,0.0001652640476289369,15,25.0
"(1, 1, 7)",17.0,18.0,0.0019907585907123207,20,25.0
"(1, 1, 7)",15.0,16.0,0.004497184152203379,30,25.0
"(1, 1, 7)",15.0,15.0,0.0006535011082311695,60,25.0
"(1, 3, 1)",16.0,16.0,0.00041327091798290647,10,22.0
"(1, 3, 1)",16.0,16.0,0.00041327091798290647,15,22.0
"(1, 3, 1)",16.0,16.0,0.00041327091798290647,20,22.0
"(1, 3, 1)",14.0,15.0,0.006730628378082985,30,22.0
"(1, 3, 1)",14.0,14.0,0.0010333215625969077,60,22.0
"(1, 3, 3)",22.0,23.0,0.00024987652684583796,10,31.0
"(1, 3, 3)",21.0,23.0,0.0018088375858068544,15,31.0
"(1, 3, 3)",21.0,23.0,0.0018088375858068544,20,31.0
"(1, 3, 3)",17.0,20.0,0.022832486430135614,30,31.0
"(1, 3, 3)",16.0,17.0,0.002996050491241571,60,31.0
"(1, 3, 5)",16.0,16.0,0.00041327091798290647,10,22.0
"(1, 3, 5)",16.0,16.0,0.00041327091798290647,15,22.0
"(1, 3, 5)",16.0,16.0,0.00041327091798290647,20,22.0
"(1, 3, 5)",14.0,15.0,0.006730628378082985,30,22.0
"(1, 3, 5)",14.0,14.0,0.0010333215625969077,60,22.0
"(1, 3, 7)",22.0,23.0,0.00024987652684583796,10,31.0
"(1, 3, 7)",21.0,23.0,0.0018088375858068544,15,31.0
"(1, 3, 7)",21.0,23.0,0.0018088375858068544,20,31.0
"(1, 3, 7)",17.0,20.0,0.022832486430135614,30,31.0
"(1, 3, 7)",16.0,17.0,0.002996050491241571,60,31.0
"(1, 5, 1)",14.0,16.0,0.023481460072180015,5,21.0
"(1, 5, 1)",15.0,15.0,0.0006535011082311695,10,21.0
"(1, 5, 1)",15.0,15.0,0.0006535011082311695,15,21.0
"(1, 5, 1)",15.0,15.0,0.0006535011082311695,20,21.0
"(1, 5, 1)",14.0,14.0,0.0010333215625969077,30,21.0
"(1, 5, 1)",14.0,14.0,0.0010333215625969077,60,21.0
"(1, 5, 3)",18.0,18.0,0.0001652640476289369,10,25.0
"(1, 5, 3)",18.0,18.0,0.0001652640476289369,15,25.0
"(1, 5, 3)",17.0,18.0,0.0019907585907123207,20,25.0
"(1, 5, 3)",15.0,16.0,0.004497184152203379,30,25.0
"(1, 5, 3)",15.0,15.0,0.0006535011082311695,60,25.0
"(1, 5, 5)",14.0,16.0,0.023481460072180015,5,21.0
"(1, 5, 5)",15.0,15.0,0.0006535011082311695,10,21.0
"(1, 5, 5)",15.0,15.0,0.0006535011082311695,15,21.0
"(1, 5, 5)",15.0,15.0,0.0006535011082311695,20,21.0
"(1, 5, 5)",14.0,14.0,0.0010333215625969077,30,21.0
"(1, 5, 5)",14.0,14.0,0.0010333215625969077,60,21.0
"(1, 5, 7)",18.0,18.0,0.0001652640476289369,10,25.0
"(1, 5, 7)",18.0,18.0,0.0001652640476289369,15,25.0
"(1, 5, 7)",17.0,18.0,0.0019907585907123207,20,25.0
"(1, 5, 7)",15.0,16.0,0.004497184152203379,30,25.0
"(1, 5, 7)",15.0,15.0,0.0006535011082311695,60,25.0
"(1, 7, 1)",16.0,16.0,0.00041327091798290647,10,22.0
"(1, 7, 1)",16.0,16.0,0.00041327091798290647,15,22.0
"(1, 7, 1)",16.0,16.0,0.00041327091798290647,20,22.0
"(1, 7, 1)",14.0,15.0,0.006730628378082985,30,22.0
"(1, 7, 1)",14.0,14.0,0.0010333215625969077,60,22.0
"(1, 7, 3)",22.0,23.0,0.00024987652684583796,10,31.0
"(1, 7, 3)",21.0,23.0,0.0018088375858068544,15,31.0
"(1, 7, 3)",21.0,23.0,0.0018088375858068544,20,31.0
"(1, 7, 3)",17.0,20.0,0.022832486430135614,30,31.0
"(1, 7, 3)",16.0,17.0,0.002996050491241571,60,31.0
"(1, 7, 5)",16.0,16.0,0.00041327091798290647,10,22.0
"(1, 7, 5)",16.0,16.0,0.00041327091798290647,15,22.0
"(1, 7, 5)",16.0,16.0,0.00041327091798290647,20,22.0
"(1, 7, 5)",14.0,15.0,0.006730628378082985,30,22.0
"(1, 7, 5)",14.0,14.0,0.0010333215625969077,60,22.0
"(1, 7, 7)",22.0,23.0,0.00024987652684583796,10,31.0
"(1, 7, 7)",21.0,23.0,0.0018088375858068544,15,31.0
"(1, 7, 7)",21.0,23.0,0.0018088375858068544,20,31.0
"(1, 7, 7)",17.0,20.0,0.022832486430135614,30,31.0
"(1, 7, 7)",16.0,17.0,0.002996050491241571,60,31.0
"(2, 3, 1)",6.0,6.0,0.03952199104714706,15,10.0
"(2, 7, 1)",6.0,6.0,0.03952199104714706,15,10.0
"(3, 1, 1)",17.0,19.0,0.008030615157419435,10,26.0
"(3, 1, 1)",18.0,18.0,0.0001652640476289369,15,26.0
"(3, 1, 1)",17.0,18.0,0.0019907585907123207,20,26.0
"(3, 1, 1)",15.0,17.0,0.016506253439897832,30,26.0
"(3, 1, 1)",15.0,15.0,0.0006535011082311695,60,26.0
"(3, 1, 3)",21.0,23.0,0.0018088375858068544,10,31.0
"(3, 1, 3)",22.0,22.0,2.6425387475462698e-05,15,31.0
"(3, 1, 3)",20.0,22.0,0.0026396580540020372,20,31.0
"(3, 1, 3)",16.0,16.0,0.00041327091798290647,60,31.0
"(3, 1, 5)",17.0,19.0,0.008030615157419435,10,26.0
"(3, 1, 5)",18.0,18.0,0.0001652640476289369,15,26.0
"(3, 1, 5)",17.0,18.0,0.0019907585907123207,20,26.0
"(3, 1, 5)",15.0,17.0,0.016506253439897832,30,26.0
"(3, 1, 5)",15.0,15.0,0.0006535011082311695,60,26.0
"(3, 1, 7)",21.0,23.0,0.0018088375858068544,10,31.0
"(3, 1, 7)",22.0,22.0,2.6425387475462698e-05,15,31.0
"(3, 1, 7)",20.0,22.0,0.0026396580540020372,20,31.0
"(3, 1, 7)",16.0,16.0,0.00041327091798290647,60,31.0
"(3, 3, 1)",20.0,24.0,0.021283817168787602,10,32.0
"(3, 3, 1)",22.0,22.0,2.6425387475462698e-05,15,32.0
"(3, 3, 1)",21.0,22.0,0.0003797899484259235,20,32.0
"(3, 3, 1)",16.0,16.0,0.00041327091798290647,60,32.0
"(3, 3, 3)",35.0,45.0,0.02195270860240898,10,55.0
"(3, 3, 3)",33.0,43.0,0.034699748613782874,15,55.0
"(3, 3, 3)",21.0,23.0,0.0018088375858068544,60,55.0
"(3, 3, 5)",23.0,25.0,0.0008417450160948834,15,35.0
"(3, 3, 5)",22.0,23.0,0.00024987652684583796,20,35.0
"(3, 3, 5)",16.0,17.0,0.002996050491241571,60,35.0
"(3, 3, 7)",36.0,48.0,0.04816496031153233,10,58.0
"(3, 3, 7)",21.0,24.0,0.006011893552812232,60,58.0
"(3, 5, 1)",17.0,19.0,0.008030615157419435,10,26.0
"(3, 5, 1)",18.0,18.0,0.0001652640476289369,15,26.0
"(3, 5, 1)",17.0,18.0,0.0019907585907123207,20,26.0
"(3, 5, 1)",15.0,17.0,0.016506253439897832,30,26.0
"(3, 5, 1)",15.0,15.0,0.0006535011082311695,60,26.0
"(3, 5, 3)",21.0,25.0,0.015669495134021893,10,33.0
"(3, 5, 3)",22.0,24.0,0.0012356935903061227,15,33.0
"(3, 5, 3)",20.0,23.0,0.00845540133136828,20,33.0
"(3, 5, 3)",16.0,16.0,0.00041327091798290647,60,33.0
"(3, 5, 5)",19.0,23.0,0.028740845096735176,10,30.0
"(3, 5, 5)",20.0,21.0,0.0005763002184760189,15,30.0
"(3, 5, 5)",19.0,21.0,0.0038392211720360407,20,30.0
"(3, 5, 5)",15.0,17.0,0.016506253439897832,60,30.0
"(3, 5, 7)",23.0,29.0,0.038990128143106845,10,37.0
"(3, 5, 7)",24.0,27.0,0.00210777654265312,15,37.0
"(3, 5, 7)",22.0,26.0,0.011473485239964418,20,37.0
"(3, 5, 7)",16.0,18.0,0.011541031645740203,60,37.0
"(3, 7, 1)",20.0,24.0,0.021283817168787602,10,32.0
"(3, 7, 1)",22.0,22.0,2.6425387475462698e-05,15,32.0
"(3, 7, 1)",21.0,22.0,0.0003797899484259235,20,32.0
"(3, 7, 1)",16.0,16.0,0.00041327091798290647,60,32.0
"(3, 7, 3)",21.0,23.0,0.0018088375858068544,60,57.0
"(3, 7, 5)",25.0,28.0,0.0014753423698051801,15,39.0
"(3, 7, 5)",24.0,26.0,0.0005718699863668857,20,39.0
"(3, 7, 5)",16.0,19.0,0.03143339174622448,60,39.0
"(3, 7, 7)",21.0,26.0,0.034131938667874805,60,64.0
"(4, 4, 4)",3.0,24.0,0.006011893552812232,20,24.0
"(4, 4, 4)",0.0,24.0,1.056665457173542e-05,30,24.0
"(4, 4, 4)",0.0,10.0,0.00644787995757028,60,24.0
"(4, 4, 5)",3.0,24.0,0.006011893552812232,20,24.0
"(4, 4, 5)",0.0,24.0,1.056665457173542e-05,30,24.0
"(4, 4, 5)",0.0,10.0,0.00644787995757028,60,24.0
"(4, 4, 6)",5.0,27.0,0.025802152744838998,20,28.0
"(4, 4, 6)",2.0,27.0,0.0003875611996125377,30,28.0
"(4, 4, 6)",0.0,11.0,0.004081707595721835,60,28.0
"(4, 4, 7)",5.0,27.0,0.025802152744838998,20,28.0
"(4, 4, 7)",2.0,27.0,0.0003875611996125377,30,28.0
"(4, 4, 7)",0.0,11.0,0.004081707595721835,60,28.0
"(4, 5, 4)",3.0,24.0,0.006011893552812232,20,24.0
"(4, 5, 4)",0.0,24.0,1.056665457173542e-05,30,24.0
"(4, 5, 4)",0.0,10.0,0.00644787995757028,60,24.0
"(4, 5, 5)",3.0,24.0,0.006011893552812232,20,24.0
"(4, 5, 5)",0.0,24.0,1.056665457173542e-05,30,24.0
"(4, 5, 5)",0.0,10.0,0.00644787995757028,60,24.0
"(4, 5, 6)",5.0,27.0,0.025802152744838998,20,28.0
"(4, 5, 6)",2.0,27.0,0.0003875611996125377,30,28.0
"(4, 5, 6)",0.0,11.0,0.004081707595721835,60,28.0
"(4, 5, 7)",5.0,27.0,0.025802152744838998,20,28.0
"(4, 5, 7)",2.0,27.0,0.0003875611996125377,30,28.0
"(4, 5, 7)",0.0,11.0,0.004081707595721835,60,28.0
"(4, 6, 4)",4.0,27.0,0.008358557521513427,20,27.0
"(4, 6, 4)",0.0,27.0,2.6718405120410535e-06,30,27.0
