pattern,numerator,denominator,power,time frame,occurred
"(1,)",80674.0,124176.0,1.3894103290503254e-37,2880,124176.0
"(1, 1)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(1, 3)",80674.0,124176.0,1.3894103290503254e-37,2880,124176.0
"(1, 5)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(1, 7)",80674.0,124176.0,1.3894103290503254e-37,2880,124176.0
"(3, 1)",80673.0,124175.0,1.4281139141050361e-37,2880,124175.0
"(3, 5)",80786.0,124398.0,1.38556646076641e-36,2880,124398.0
"(5, 1)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(5, 3)",80790.0,124398.0,1.0245617726183788e-36,2880,124398.0
"(7, 1)",80673.0,124175.0,1.4281139141050361e-37,2880,124175.0
"(1, 1, 1)",80292.0,123357.0,1.6511427174525125e-42,2880,123357.0
"(1, 1, 3)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(1, 1, 5)",80292.0,123357.0,1.6511427174525125e-42,2880,123357.0
"(1, 1, 7)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(1, 3, 1)",80363.0,123498.0,8.061923506184709e-42,2880,123498.0
"(1, 3, 3)",80674.0,124176.0,1.3894103290503254e-37,2880,124176.0
"(1, 3, 5)",80363.0,123498.0,8.061923506184709e-42,2880,123498.0
"(1, 3, 7)",80674.0,124176.0,1.3894103290503254e-37,2880,124176.0
"(1, 5, 1)",80292.0,123357.0,1.6511427174525125e-42,2880,123357.0
"(1, 5, 3)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(1, 5, 5)",80292.0,123357.0,1.6511427174525125e-42,2880,123357.0
"(1, 5, 7)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(1, 7, 1)",80363.0,123498.0,8.061923506184709e-42,2880,123498.0
"(1, 7, 3)",80674.0,124176.0,1.3894103290503254e-37,2880,124176.0
"(1, 7, 5)",80363.0,123498.0,8.061923506184709e-42,2880,123498.0
"(1, 7, 7)",80674.0,124176.0,1.3894103290503254e-37,2880,124176.0
"(2, 4, 2)",47.0,64.0,0.04741203709615713,240,64.0
"(2, 4, 2)",49.0,64.0,0.013298053448120305,300,64.0
"(2, 4, 2)",50.0,64.0,0.0062810697554835275,1440,64.0
"(2, 4, 3)",47.0,64.0,0.04741203709615713,240,64.0
"(2, 4, 3)",49.0,64.0,0.013298053448120305,300,64.0
"(2, 4, 3)",50.0,64.0,0.0062810697554835275,1440,64.0
"(3, 1, 1)",80453.0,123702.0,2.148805050996055e-40,2880,123702.0
"(3, 1, 3)",80673.0,124175.0,1.4281139141050361e-37,2880,124175.0
"(3, 1, 5)",80453.0,123702.0,2.148805050996055e-40,2880,123702.0
"(3, 1, 7)",80673.0,124175.0,1.4281139141050361e-37,2880,124175.0
"(3, 3, 1)",80672.0,124174.0,1.467889256552149e-37,2880,124174.0
"(3, 3, 5)",80752.0,124332.0,7.403831133165191e-37,2880,124332.0
"(3, 4, 2)",47.0,64.0,0.04741203709615713,240,64.0
"(3, 4, 2)",49.0,64.0,0.013298053448120305,300,64.0
"(3, 4, 2)",50.0,64.0,0.0062810697554835275,1440,64.0
"(3, 4, 3)",47.0,64.0,0.04741203709615713,240,64.0
"(3, 4, 3)",49.0,64.0,0.013298053448120305,300,64.0
"(3, 4, 3)",50.0,64.0,0.0062810697554835275,1440,64.0
"(3, 5, 1)",80453.0,123702.0,2.148805050996055e-40,2880,123702.0
"(3, 5, 3)",80711.0,124239.0,1.7990740829088758e-37,2880,124239.0
"(3, 5, 5)",80525.0,123861.0,2.2950650589969226e-39,2880,123861.0
"(3, 5, 7)",80783.0,124398.0,1.7369338034613553e-36,2880,124398.0
"(3, 7, 1)",80672.0,124174.0,1.467889256552149e-37,2880,124174.0
"(3, 7, 5)",80824.0,124491.0,6.996640264718117e-36,2880,124491.0
"(5, 1, 1)",80292.0,123357.0,1.6511427174525125e-42,2880,123357.0
"(5, 1, 3)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(5, 1, 5)",80292.0,123357.0,1.6511427174525125e-42,2880,123357.0
"(5, 1, 7)",80454.0,123703.0,2.0883015876546188e-40,2880,123703.0
"(5, 3, 1)",80363.0,123498.0,8.061923506184709e-42,2880,123498.0
"(5, 3, 3)",80756.0,124333.0,5.740237847397087e-37,2880,124333.0
"(5, 3, 5)",80396.0,123563.0,1.630048647485388e-41,2880,123563.0
"(5, 3, 7)",80789.0,124398.0,1.1049266607049723e-36,2880,124398.0
"(5, 5, 1)",80292.0,123357.0,1.6511427174525125e-42,2880,123357.0
"(5, 5, 3)",80532.0,123861.0,1.3236202388396184e-39,2880,123861.0
