pattern,numerator,denominator,power,time frame,occurred
"(3, 5)",34.0,35.0,1.4980258271290303e-06,15,36.0
"(3, 5)",33.0,34.0,2.3061776386259993e-06,20,36.0
"(3, 5)",32.0,34.0,2.403240600586244e-05,30,36.0
"(3, 5)",32.0,32.0,2.7014581759950587e-07,60,36.0
"(3, 6)",28.0,33.0,0.004299867134558298,5,33.0
"(3, 6)",29.0,30.0,1.2852073522385798e-05,10,33.0
"(3, 6)",24.0,25.0,0.00010768732792302859,15,33.0
"(3, 6)",20.0,21.0,0.0005763002184760189,20,33.0
"(3, 6)",19.0,21.0,0.0038392211720360407,30,33.0
"(3, 6)",7.0,7.0,0.025232054368863263,60,33.0
"(3, 7)",50.0,65.0,0.010718259404129604,5,65.0
"(3, 7)",58.0,62.0,2.2098097416339965e-08,10,65.0
"(3, 7)",56.0,57.0,9.911354642501185e-11,15,65.0
"(3, 7)",52.0,53.0,5.783546369173004e-10,20,65.0
"(3, 7)",51.0,53.0,9.214102720258181e-09,30,65.0
"(3, 7)",39.0,39.0,1.0921968398232576e-08,60,65.0
"(4, 4)",4.0,24.0,0.021283817168787602,20,30.0
"(4, 4)",0.0,15.0,0.0006535011082311695,30,30.0
"(4, 5)",4.0,24.0,0.021283817168787602,20,30.0
"(4, 5)",0.0,15.0,0.0006535011082311695,30,30.0
"(4, 6)",5.0,26.0,0.03413193866787481,20,34.0
"(4, 6)",0.0,16.0,0.00041327091798290647,30,34.0
"(4, 7)",5.0,26.0,0.03413193866787481,20,34.0
"(4, 7)",0.0,16.0,0.00041327091798290647,30,34.0
"(5, 1)",28.0,31.0,0.0004964430835578693,10,31.0
"(5, 1)",31.0,31.0,4.2720932128340573e-07,15,31.0
"(5, 1)",31.0,31.0,4.2720932128340573e-07,20,31.0
"(5, 1)",31.0,31.0,4.2720932128340573e-07,30,31.0
"(5, 1)",31.0,31.0,4.2720932128340573e-07,60,31.0
"(5, 3)",32.0,36.0,0.00040262571564888855,10,37.0
"(5, 3)",36.0,36.0,4.319448956457088e-08,15,37.0
"(5, 3)",34.0,35.0,1.4980258271290303e-06,20,37.0
"(5, 3)",33.0,34.0,2.3061776386259993e-06,30,37.0
"(5, 3)",33.0,33.0,1.708267089671249e-07,60,37.0
"(5, 4)",4.0,24.0,0.021283817168787602,20,30.0
"(5, 4)",0.0,15.0,0.0006535011082311695,30,30.0
"(5, 5)",31.0,31.0,4.2720932128340573e-07,60,61.0
"(5, 6)",2.0,18.0,0.011541031645740203,30,36.0
"(5, 7)",33.0,33.0,1.708267089671249e-07,60,67.0
"(6, 2)",25.0,30.0,0.01077060086306573,5,31.0
"(6, 2)",27.0,28.0,3.017629607516112e-05,10,31.0
"(6, 2)",23.0,23.0,1.6710120546315935e-05,15,31.0
"(6, 2)",18.0,19.0,0.0013196634166337535,20,31.0
"(6, 2)",17.0,18.0,0.0019907585907123207,30,31.0
"(6, 3)",26.0,31.0,0.007967000846991644,5,32.0
"(6, 3)",28.0,29.0,1.9703142961019753e-05,10,32.0
"(6, 3)",24.0,24.0,1.056665457173542e-05,15,32.0
"(6, 3)",19.0,20.0,0.0008729293960723854,20,32.0
"(6, 3)",18.0,19.0,0.0013196634166337535,30,32.0
"(6, 3)",6.0,6.0,0.03952199104714706,60,32.0
"(6, 4)",5.0,26.0,0.03413193866787481,20,34.0
"(6, 4)",0.0,17.0,0.0002613427077912203,30,34.0
"(6, 5)",1.0,18.0,0.001990758590712321,30,35.0
"(6, 7)",6.0,6.0,0.03952199104714706,60,66.0
"(7, 1)",29.0,32.0,0.00034333872310751673,10,32.0
"(7, 1)",32.0,32.0,2.7014581759950587e-07,15,32.0
"(7, 1)",32.0,32.0,2.7014581759950587e-07,20,32.0
"(7, 1)",32.0,32.0,2.7014581759950587e-07,30,32.0
"(7, 1)",32.0,32.0,2.7014581759950587e-07,60,32.0
"(7, 2)",27.0,32.0,0.005865820491189636,5,33.0
"(7, 2)",29.0,30.0,1.2852073522385798e-05,10,33.0
"(7, 2)",25.0,25.0,6.681827637683693e-06,15,33.0
"(7, 2)",20.0,21.0,0.0005763002184760189,20,33.0
"(7, 2)",19.0,20.0,0.0008729293960723854,30,33.0
"(7, 2)",7.0,7.0,0.025232054368863263,60,33.0
"(7, 3)",49.0,64.0,0.013298053448120305,5,65.0
"(7, 3)",58.0,62.0,2.2098097416339965e-08,10,65.0
"(7, 3)",57.0,57.0,2.854541280506236e-12,15,65.0
"(7, 3)",52.0,53.0,5.783546369173004e-10,20,65.0
"(7, 3)",51.0,52.0,8.981971585225153e-10,30,65.0
"(7, 3)",39.0,39.0,1.0921968398232576e-08,60,65.0
"(7, 4)",5.0,26.0,0.03413193866787481,20,34.0
"(7, 4)",0.0,17.0,0.0002613427077912203,30,34.0
"(7, 5)",32.0,32.0,2.7014581759950587e-07,60,66.0
"(7, 6)",7.0,7.0,0.025232054368863263,60,67.0
"(7, 7)",68.0,89.0,0.0045926632156811685,10,99.0
"(7, 7)",65.0,84.0,0.0031987141270294083,15,99.0
"(7, 7)",51.0,69.0,0.03400433568669994,30,99.0
"(7, 7)",39.0,39.0,1.0921968398232576e-08,60,99.0
"(1, 1, 1)",27.0,29.0,0.00017680043967313957,10,29.0
"(1, 1, 1)",29.0,29.0,1.0683797540792245e-06,15,29.0
"(1, 1, 1)",29.0,29.0,1.0683797540792245e-06,20,29.0
"(1, 1, 1)",29.0,29.0,1.0683797540792245e-06,30,29.0
"(1, 1, 1)",29.0,29.0,1.0683797540792245e-06,60,29.0
"(1, 1, 3)",29.0,31.0,8.000232908983395e-05,10,31.0
"(1, 1, 3)",31.0,31.0,4.2720932128340573e-07,15,31.0
"(1, 1, 3)",31.0,31.0,4.2720932128340573e-07,20,31.0
"(1, 1, 3)",31.0,31.0,4.2720932128340573e-07,30,31.0
"(1, 1, 3)",31.0,31.0,4.2720932128340573e-07,60,31.0
"(1, 1, 5)",27.0,29.0,0.00017680043967313957,10,29.0
"(1, 1, 5)",29.0,29.0,1.0683797540792245e-06,15,29.0
"(1, 1, 5)",29.0,29.0,1.0683797540792245e-06,20,29.0
"(1, 1, 5)",29.0,29.0,1.0683797540792245e-06,30,29.0
"(1, 1, 5)",29.0,29.0,1.0683797540792245e-06,60,29.0
"(1, 1, 7)",29.0,31.0,8.000232908983395e-05,10,31.0
"(1, 1, 7)",31.0,31.0,4.2720932128340573e-07,15,31.0
"(1, 1, 7)",31.0,31.0,4.2720932128340573e-07,20,31.0
"(1, 1, 7)",31.0,31.0,4.2720932128340573e-07,30,31.0
"(1, 1, 7)",31.0,31.0,4.2720932128340573e-07,60,31.0
"(1, 3, 1)",27.0,29.0,0.00017680043967313957,10,29.0
"(1, 3, 1)",29.0,29.0,1.0683797540792245e-06,15,29.0
"(1, 3, 1)",29.0,29.0,1.0683797540792245e-06,20,29.0
"(1, 3, 1)",29.0,29.0,1.0683797540792245e-06,30,29.0
"(1, 3, 1)",29.0,29.0,1.0683797540792245e-06,60,29.0
"(1, 3, 3)",31.0,33.0,3.594228202637022e-05,10,33.0
"(1, 3, 3)",33.0,33.0,1.708267089671249e-07,15,33.0
"(1, 3, 3)",33.0,33.0,1.708267089671249e-07,20,33.0
"(1, 3, 3)",33.0,33.0,1.708267089671249e-07,30,33.0
"(1, 3, 3)",33.0,33.0,1.708267089671249e-07,60,33.0
"(1, 3, 5)",27.0,29.0,0.00017680043967313957,10,29.0
"(1, 3, 5)",29.0,29.0,1.0683797540792245e-06,15,29.0
"(1, 3, 5)",29.0,29.0,1.0683797540792245e-06,20,29.0
"(1, 3, 5)",29.0,29.0,1.0683797540792245e-06,30,29.0
