pattern,numerator,denominator,power,time frame,occurred
"(1,)",28.0,33.0,0.004299867134558298,5,33.0
"(1,)",31.0,33.0,3.594228202637022e-05,10,33.0
"(1,)",27.0,33.0,0.013173602822135866,15,33.0
"(1,)",31.0,33.0,3.594228202637022e-05,30,33.0
"(1,)",23.0,23.0,1.6710120546315935e-05,60,33.0
"(2,)",12.0,14.0,0.046632145853175,60,33.0
"(3,)",51.0,60.0,0.000131720399915417,30,66.0
"(3,)",35.0,37.0,7.121527321281137e-06,60,66.0
"(4,)",6.0,30.0,0.029982687567535554,5,34.0
"(4,)",2.0,20.0,0.005563636611966738,20,34.0
"(5,)",35.0,43.0,0.006178201176748357,30,67.0
"(5,)",26.0,26.0,4.225255037305369e-06,60,67.0
"(6,)",15.0,17.0,0.016506253439897832,60,67.0
"(7,)",55.0,70.0,0.0034564637417867712,30,100.0
"(7,)",38.0,40.0,2.085912662490708e-06,60,100.0
"(1, 1)",23.0,25.0,0.0008417450160948834,5,25.0
"(1, 1)",24.0,25.0,0.00010768732792302859,10,25.0
"(1, 1)",21.0,25.0,0.015669495134021893,15,25.0
"(1, 1)",25.0,25.0,6.681827637683693e-06,30,25.0
"(1, 1)",18.0,18.0,0.0001652640476289369,60,25.0
"(1, 3)",27.0,33.0,0.013173602822135866,5,33.0
"(1, 3)",28.0,33.0,0.004299867134558298,10,33.0
"(1, 3)",32.0,33.0,3.5476764024680773e-06,30,33.0
"(1, 3)",22.0,22.0,2.6425387475462698e-05,60,33.0
"(1, 5)",23.0,25.0,0.0008417450160948834,5,25.0
"(1, 5)",24.0,25.0,0.00010768732792302859,10,25.0
"(1, 5)",21.0,25.0,0.015669495134021893,15,25.0
"(1, 5)",25.0,25.0,6.681827637683693e-06,30,25.0
"(1, 5)",18.0,18.0,0.0001652640476289369,60,25.0
"(1, 7)",27.0,33.0,0.013173602822135866,5,33.0
"(1, 7)",28.0,33.0,0.004299867134558298,10,33.0
"(1, 7)",32.0,33.0,3.5476764024680773e-06,30,33.0
"(1, 7)",22.0,22.0,2.6425387475462698e-05,60,33.0
"(2, 2)",7.0,7.0,0.025232054368863263,60,20.0
"(2, 3)",12.0,12.0,0.0025826820406833445,60,28.0
"(2, 5)",7.0,7.0,0.025232054368863263,60,13.0
"(2, 6)",9.0,9.0,0.01017780870835625,60,25.0
"(2, 7)",14.0,14.0,0.0010333215625969077,60,33.0
"(3, 1)",28.0,33.0,0.004299867134558298,5,33.0
"(3, 1)",31.0,33.0,3.594228202637022e-05,10,33.0
"(3, 1)",27.0,33.0,0.013173602822135866,15,33.0
"(3, 1)",31.0,33.0,3.594228202637022e-05,30,33.0
"(3, 1)",23.0,23.0,1.6710120546315935e-05,60,33.0
"(3, 2)",20.0,24.0,0.021283817168787602,30,28.0
"(3, 2)",11.0,11.0,0.004081707595721835,60,28.0
"(3, 3)",46.0,61.0,0.024814028010819417,10,61.0
