pattern,numerator,denominator,power,time frame,occurred
"(1,)",23.0,27.0,0.008358557521513427,15,33.0
"(1,)",23.0,27.0,0.008358557521513427,20,33.0
"(1,)",27.0,27.0,2.6718405120410535e-06,30,33.0
"(4,)",4.0,34.0,0.0008092612907825288,5,34.0
"(4,)",3.0,34.0,0.00016298095957845312,10,34.0
"(4,)",0.0,34.0,1.080222698595111e-07,15,34.0
"(4,)",0.0,29.0,1.0683797540792245e-06,20,34.0
"(4,)",0.0,23.0,1.6710120546315935e-05,30,34.0
"(6,)",16.0,63.0,0.03163484897589382,10,67.0
"(6,)",13.0,58.0,0.011390356446248506,15,67.0
"(6,)",11.0,53.0,0.007327027707375857,20,67.0
"(6,)",5.0,43.0,0.00015823251325043414,30,67.0
"(1, 1)",21.0,24.0,0.006011893552812232,15,29.0
"(1, 1)",21.0,24.0,0.006011893552812232,20,29.0
"(1, 1)",24.0,24.0,1.056665457173542e-05,30,29.0
"(1, 3)",24.0,27.0,0.00210777654265312,15,32.0
"(1, 3)",24.0,27.0,0.00210777654265312,20,32.0
"(1, 3)",27.0,27.0,2.6718405120410535e-06,30,32.0
"(1, 5)",21.0,24.0,0.006011893552812232,15,29.0
"(1, 5)",21.0,24.0,0.006011893552812232,20,29.0
"(1, 5)",24.0,24.0,1.056665457173542e-05,30,29.0
"(1, 7)",24.0,27.0,0.00210777654265312,15,32.0
"(1, 7)",24.0,27.0,0.00210777654265312,20,32.0
"(1, 7)",27.0,27.0,2.6718405120410535e-06,30,32.0
"(2, 4)",0.0,7.0,0.025232054368863263,15,7.0
"(2, 4)",0.0,7.0,0.025232054368863263,20,7.0
"(2, 6)",2.0,17.0,0.01650625343989783,30,29.0
"(3, 1)",23.0,27.0,0.008358557521513427,15,33.0
"(3, 1)",23.0,27.0,0.008358557521513427,20,33.0
"(3, 1)",27.0,27.0,2.6718405120410535e-06,30,33.0
"(3, 3)",34.0,44.0,0.0276689266660352,15,58.0
"(3, 3)",32.0,42.0,0.043291340129779414,30,58.0
"(3, 4)",0.0,7.0,0.025232054368863263,15,7.0
"(3, 4)",0.0,7.0,0.025232054368863263,20,7.0
"(3, 5)",27.0,32.0,0.005865820491189636,30,40.0
"(4, 4)",3.0,26.0,0.0030007452539188733,5,26.0
"(4, 4)",1.0,26.0,7.05527152475201e-05,10,26.0
"(4, 4)",0.0,26.0,4.225255037305369e-06,15,26.0
"(4, 4)",0.0,21.0,4.178906403852619e-05,20,26.0
"(4, 4)",0.0,17.0,0.0002613427077912203,30,26.0
"(4, 5)",3.0,26.0,0.0030007452539188733,5,26.0
"(4, 5)",1.0,26.0,7.05527152475201e-05,10,26.0
"(4, 5)",0.0,26.0,4.225255037305369e-06,15,26.0
"(4, 5)",0.0,21.0,4.178906403852619e-05,20,26.0
"(4, 5)",0.0,17.0,0.0002613427077912203,30,26.0
"(4, 6)",4.0,34.0,0.0008092612907825288,10,34.0
"(4, 6)",2.0,33.0,3.594228202637023e-05,15,34.0
"(4, 6)",2.0,28.0,0.00026204798766723235,20,34.0
"(4, 6)",0.0,22.0,2.6425387475462698e-05,30,34.0
"(4, 7)",4.0,34.0,0.0008092612907825288,10,34.0
"(4, 7)",2.0,33.0,3.594228202637023e-05,15,34.0
"(4, 7)",2.0,28.0,0.00026204798766723235,20,34.0
"(4, 7)",0.0,22.0,2.6425387475462698e-05,30,34.0
"(5, 1)",21.0,24.0,0.006011893552812232,15,29.0
"(5, 1)",21.0,24.0,0.006011893552812232,20,29.0
"(5, 1)",24.0,24.0,1.056665457173542e-05,30,29.0
"(5, 3)",27.0,32.0,0.005865820491189636,30,40.0
"(5, 4)",3.0,26.0,0.0030007452539188733,5,26.0
"(5, 4)",1.0,26.0,7.05527152475201e-05,10,26.0
"(5, 4)",0.0,26.0,4.225255037305369e-06,15,26.0
"(5, 4)",0.0,21.0,4.178906403852619e-05,20,26.0
"(5, 4)",0.0,17.0,0.0002613427077912203,30,26.0
"(5, 6)",7.0,37.0,0.011846990559814655,10,37.0
"(5, 6)",5.0,36.0,0.0016534527934766953,15,37.0
"(5, 6)",5.0,31.0,0.007967000846991645,20,37.0
"(5, 6)",3.0,25.0,0.004255965992592287,30,37.0
"(6, 2)",2.0,17.0,0.01650625343989783,30,30.0
"(6, 4)",4.0,33.0,0.001142067379971999,5,33.0
"(6, 4)",3.0,33.0,0.00023684156885891882,10,33.0
"(6, 4)",0.0,33.0,1.708267089671249e-07,15,33.0
"(6, 4)",0.0,28.0,1.6895385276439096e-06,20,33.0
"(6, 4)",0.0,22.0,2.6425387475462698e-05,30,33.0
"(6, 5)",5.0,37.0,0.0011935863631343507,5,37.0
"(6, 5)",5.0,36.0,0.0016534527934766953,10,37.0
"(6, 5)",2.0,36.0,1.06966523030193e-05,15,37.0
"(6, 5)",2.0,31.0,8.000232908983398e-05,20,37.0
"(6, 5)",3.0,25.0,0.004255965992592287,30,37.0
"(6, 6)",13.0,59.0,0.009060637054282845,10,63.0
"(6, 6)",10.0,54.0,0.002248816580871165,15,63.0
"(6, 6)",8.0,49.0,0.0011207613844640726,20,63.0
"(6, 6)",2.0,39.0,3.1446401314711815e-06,30,63.0
"(6, 7)",15.0,62.0,0.02023592151194318,10,67.0
"(6, 7)",12.0,57.0,0.006449811328772773,15,67.0
"(6, 7)",10.0,52.0,0.003835270214844431,20,67.0
"(6, 7)",5.0,42.0,0.00022316144149583627,30,67.0
"(7, 1)",23.0,27.0,0.008358557521513427,15,33.0
"(7, 1)",23.0,27.0,0.008358557521513427,20,33.0
"(7, 1)",27.0,27.0,2.6718405120410535e-06,30,33.0
"(7, 4)",4.0,33.0,0.001142067379971999,5,33.0
"(7, 4)",3.0,33.0,0.00023684156885891882,10,33.0
"(7, 4)",0.0,33.0,1.708267089671249e-07,15,33.0
"(7, 4)",0.0,28.0,1.6895385276439096e-06,20,33.0
"(7, 4)",0.0,22.0,2.6425387475462698e-05,30,33.0
"(7, 6)",16.0,62.0,0.038262215851268516,10,66.0
"(7, 6)",13.0,57.0,0.014262802642730128,15,66.0
"(7, 6)",11.0,52.0,0.00935714484041562,20,66.0
"(7, 6)",5.0,42.0,0.00022316144149583627,30,66.0
"(1, 1, 1)",18.0,21.0,0.016484934398194484,15,25.0
"(1, 1, 1)",18.0,21.0,0.016484934398194484,20,25.0
"(1, 1, 1)",21.0,21.0,4.178906403852619e-05,30,25.0
"(1, 1, 3)",21.0,24.0,0.006011893552812232,15,28.0
"(1, 1, 3)",21.0,24.0,0.006011893552812232,20,28.0
"(1, 1, 3)",24.0,24.0,1.056665457173542e-05,30,28.0
"(1, 1, 5)",18.0,21.0,0.016484934398194484,15,25.0
"(1, 1, 5)",18.0,21.0,0.016484934398194484,20,25.0
"(1, 1, 5)",21.0,21.0,4.178906403852619e-05,30,25.0
"(1, 1, 7)",21.0,24.0,0.006011893552812232,15,28.0
"(1, 1, 7)",21.0,24.0,0.006011893552812232,20,28.0
"(1, 1, 7)",24.0,24.0,1.056665457173542e-05,30,28.0
"(1, 3, 1)",20.0,23.0,0.00845540133136828,15,27.0
"(1, 3, 1)",20.0,23.0,0.00845540133136828,20,27.0
"(1, 3, 1)",23.0,23.0,1.6710120546315935e-05,30,27.0
"(1, 3, 3)",24.0,27.0,0.00210777654265312,15,31.0
"(1, 3, 3)",24.0,27.0,0.00210777654265312,20,31.0
"(1, 3, 3)",27.0,27.0,2.6718405120410535e-06,30,31.0
"(1, 3, 5)",20.0,23.0,0.00845540133136828,15,27.0
"(1, 3, 5)",20.0,23.0,0.00845540133136828,20,27.0
"(1, 3, 5)",23.0,23.0,1.6710120546315935e-05,30,27.0
"(1, 3, 7)",24.0,27.0,0.00210777654265312,15,31.0
"(1, 3, 7)",24.0,27.0,0.00210777654265312,20,31.0
"(1, 3, 7)",27.0,27.0,2.6718405120410535e-06,30,31.0
"(1, 5, 1)",18.0,21.0,0.016484934398194484,15,25.0
"(1, 5, 1)",18.0,21.0,0.016484934398194484,20,25.0
"(1, 5, 1)",21.0,21.0,4.178906403852619e-05,30,25.0
"(1, 5, 3)",21.0,24.0,0.006011893552812232,15,28.0
"(1, 5, 3)",21.0,24.0,0.006011893552812232,20,28.0
"(1, 5, 3)",24.0,24.0,1.056665457173542e-05,30,28.0
"(1, 5, 5)",18.0,21.0,0.016484934398194484,15,25.0
"(1, 5, 5)",18.0,21.0,0.016484934398194484,20,25.0
