pattern,numerator,denominator,power,time frame,occurred
"(2, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(3, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(2, 2, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(2, 3, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(2, 4, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(2, 4, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(2, 6, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(2, 7, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(3, 2, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(3, 3, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(3, 4, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(3, 4, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(3, 6, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(3, 7, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(4, 2, 4)",22.0,80.0,0.044505713502615486,60,80.0
"(4, 2, 4)",21.0,80.0,0.026035286032954994,240,80.0
"(4, 2, 5)",22.0,80.0,0.044505713502615486,60,80.0
"(4, 2, 5)",21.0,80.0,0.026035286032954994,240,80.0
"(4, 3, 4)",22.0,80.0,0.044505713502615486,60,80.0
"(4, 3, 4)",21.0,80.0,0.026035286032954994,240,80.0
"(4, 3, 5)",22.0,80.0,0.044505713502615486,60,80.0
"(4, 3, 5)",21.0,80.0,0.026035286032954994,240,80.0
"(5, 2, 4)",22.0,80.0,0.044505713502615486,60,80.0
"(5, 2, 4)",21.0,80.0,0.026035286032954994,240,80.0
"(5, 3, 4)",22.0,80.0,0.044505713502615486,60,80.0
"(5, 3, 4)",21.0,80.0,0.026035286032954994,240,80.0
"(6, 2, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(6, 3, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(7, 2, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(7, 3, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(2, 1, 2, 1)",16.0,19.0,0.03143339174622448,1440,19.0
"(2, 1, 2, 5)",16.0,19.0,0.03143339174622448,1440,19.0
"(2, 1, 6, 1)",16.0,19.0,0.03143339174622448,1440,19.0
"(2, 1, 6, 5)",16.0,19.0,0.03143339174622448,1440,19.0
"(2, 2, 6, 4)",101.0,315.0,0.04239114467388239,300,315.0
"(2, 2, 7, 4)",101.0,315.0,0.04239114467388239,300,315.0
"(2, 3, 6, 4)",101.0,315.0,0.04239114467388239,300,315.0
"(2, 3, 7, 4)",101.0,315.0,0.04239114467388239,300,315.0
"(2, 4, 2, 4)",3.0,23.0,0.008455401331368283,60,23.0
"(2, 4, 2, 5)",3.0,23.0,0.008455401331368283,60,23.0
"(2, 4, 3, 4)",3.0,23.0,0.008455401331368283,60,23.0
"(2, 4, 3, 5)",3.0,23.0,0.008455401331368283,60,23.0
"(2, 4, 4, 2)",5.0,29.0,0.014489069257479241,300,29.0
"(2, 4, 4, 3)",5.0,29.0,0.014489069257479241,300,29.0
"(2, 4, 5, 2)",5.0,29.0,0.014489069257479241,300,29.0
"(2, 4, 5, 3)",5.0,29.0,0.014489069257479241,300,29.0
"(2, 4, 6, 2)",20.0,77.0,0.025218961578541785,300,77.0
"(2, 4, 6, 3)",20.0,77.0,0.025218961578541785,300,77.0
"(2, 4, 6, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(2, 4, 6, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(2, 4, 7, 2)",20.0,77.0,0.025218961578541785,300,77.0
"(2, 4, 7, 3)",20.0,77.0,0.025218961578541785,300,77.0
"(2, 4, 7, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(2, 4, 7, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(2, 5, 2, 1)",16.0,19.0,0.03143339174622448,1440,19.0
"(2, 5, 2, 4)",3.0,23.0,0.008455401331368283,60,23.0
"(2, 5, 3, 4)",3.0,23.0,0.008455401331368283,60,23.0
"(2, 5, 4, 2)",5.0,29.0,0.014489069257479241,300,29.0
"(2, 5, 4, 3)",5.0,29.0,0.014489069257479241,300,29.0
"(2, 5, 6, 1)",16.0,19.0,0.03143339174622448,1440,19.0
"(2, 6, 2, 4)",55.0,186.0,0.020984385465217574,300,186.0
"(2, 6, 3, 4)",55.0,186.0,0.020984385465217574,300,186.0
"(2, 6, 4, 2)",19.0,82.0,0.004924419141393086,300,82.0
"(2, 6, 4, 3)",19.0,82.0,0.004924419141393086,300,82.0
"(2, 6, 4, 6)",135.0,419.0,0.02697257897018904,300,419.0
"(2, 6, 4, 7)",135.0,419.0,0.02697257897018904,300,419.0
"(2, 6, 6, 4)",171.0,523.0,0.026933636069010336,300,523.0
"(2, 6, 7, 4)",171.0,523.0,0.026933636069010336,300,523.0
"(2, 7, 2, 4)",55.0,186.0,0.020984385465217574,300,186.0
"(2, 7, 3, 4)",55.0,186.0,0.020984385465217574,300,186.0
"(2, 7, 4, 2)",19.0,82.0,0.004924419141393086,300,82.0
"(2, 7, 4, 3)",19.0,82.0,0.004924419141393086,300,82.0
"(2, 7, 4, 6)",135.0,419.0,0.02697257897018904,300,419.0
"(2, 7, 4, 7)",135.0,419.0,0.02697257897018904,300,419.0
"(2, 7, 6, 4)",171.0,523.0,0.026933636069010336,300,523.0
"(2, 7, 7, 4)",171.0,523.0,0.026933636069010336,300,523.0
"(3, 2, 6, 4)",101.0,315.0,0.04239114467388239,300,315.0
"(3, 2, 7, 4)",101.0,315.0,0.04239114467388239,300,315.0
"(3, 3, 6, 4)",101.0,315.0,0.04239114467388239,300,315.0
"(3, 3, 7, 4)",101.0,315.0,0.04239114467388239,300,315.0
"(3, 4, 2, 4)",3.0,23.0,0.008455401331368283,60,23.0
"(3, 4, 2, 5)",3.0,23.0,0.008455401331368283,60,23.0
"(3, 4, 3, 4)",3.0,23.0,0.008455401331368283,60,23.0
"(3, 4, 3, 5)",3.0,23.0,0.008455401331368283,60,23.0
"(3, 4, 4, 2)",5.0,29.0,0.014489069257479241,300,29.0
"(3, 4, 4, 3)",5.0,29.0,0.014489069257479241,300,29.0
"(3, 4, 5, 2)",5.0,29.0,0.014489069257479241,300,29.0
"(3, 4, 5, 3)",5.0,29.0,0.014489069257479241,300,29.0
"(3, 4, 6, 2)",20.0,77.0,0.025218961578541785,300,77.0
"(3, 4, 6, 3)",20.0,77.0,0.025218961578541785,300,77.0
"(3, 4, 6, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(3, 4, 6, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(3, 4, 7, 2)",20.0,77.0,0.025218961578541785,300,77.0
"(3, 4, 7, 3)",20.0,77.0,0.025218961578541785,300,77.0
"(3, 4, 7, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(3, 4, 7, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(3, 5, 2, 4)",3.0,23.0,0.008455401331368283,60,23.0
"(3, 5, 3, 4)",3.0,23.0,0.008455401331368283,60,23.0
"(3, 5, 4, 2)",5.0,29.0,0.014489069257479241,300,29.0
"(3, 5, 4, 3)",5.0,29.0,0.014489069257479241,300,29.0
"(3, 6, 2, 4)",55.0,186.0,0.020984385465217574,300,186.0
"(3, 6, 3, 4)",55.0,186.0,0.020984385465217574,300,186.0
"(3, 6, 4, 2)",19.0,82.0,0.004924419141393086,300,82.0
"(3, 6, 4, 3)",19.0,82.0,0.004924419141393086,300,82.0
"(3, 6, 4, 6)",135.0,419.0,0.02697257897018904,300,419.0
"(3, 6, 4, 7)",135.0,419.0,0.02697257897018904,300,419.0
"(3, 6, 6, 4)",171.0,523.0,0.026933636069010336,300,523.0
"(3, 6, 7, 4)",171.0,523.0,0.026933636069010336,300,523.0
"(3, 7, 2, 4)",55.0,186.0,0.020984385465217574,300,186.0
"(3, 7, 3, 4)",55.0,186.0,0.020984385465217574,300,186.0
"(3, 7, 4, 2)",19.0,82.0,0.004924419141393086,300,82.0
"(3, 7, 4, 3)",19.0,82.0,0.004924419141393086,300,82.0
"(3, 7, 4, 6)",135.0,419.0,0.02697257897018904,300,419.0
"(3, 7, 4, 7)",135.0,419.0,0.02697257897018904,300,419.0
"(3, 7, 6, 4)",171.0,523.0,0.026933636069010336,300,523.0
"(3, 7, 7, 4)",171.0,523.0,0.026933636069010336,300,523.0
"(4, 2, 4, 4)",16.0,62.0,0.038262215851268516,60,62.0
"(4, 2, 4, 5)",16.0,62.0,0.038262215851268516,60,62.0
"(4, 2, 5, 4)",16.0,62.0,0.038262215851268516,60,62.0
"(4, 2, 5, 5)",16.0,62.0,0.038262215851268516,60,62.0
"(4, 3, 4, 4)",16.0,62.0,0.038262215851268516,60,62.0
"(4, 3, 4, 5)",16.0,62.0,0.038262215851268516,60,62.0
"(4, 3, 5, 4)",16.0,62.0,0.038262215851268516,60,62.0
"(4, 3, 5, 5)",16.0,62.0,0.038262215851268516,60,62.0
"(5, 2, 4, 4)",16.0,62.0,0.038262215851268516,60,62.0
"(5, 2, 4, 5)",16.0,62.0,0.038262215851268516,60,62.0
"(5, 2, 5, 4)",16.0,62.0,0.038262215851268516,60,62.0
"(5, 3, 4, 4)",16.0,62.0,0.038262215851268516,60,62.0
"(5, 3, 4, 5)",16.0,62.0,0.038262215851268516,60,62.0
"(5, 3, 5, 4)",16.0,62.0,0.038262215851268516,60,62.0
"(6, 1, 2, 1)",16.0,19.0,0.03143339174622448,1440,19.0
"(6, 1, 2, 5)",16.0,19.0,0.03143339174622448,1440,19.0
"(6, 1, 6, 1)",16.0,19.0,0.03143339174622448,1440,19.0
"(6, 1, 6, 5)",16.0,19.0,0.03143339174622448,1440,19.0
"(6, 2, 2, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(6, 2, 3, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(6, 2, 4, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(6, 2, 4, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(6, 2, 6, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(6, 2, 7, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(6, 3, 2, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(6, 3, 3, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(6, 3, 4, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(6, 3, 4, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(6, 3, 6, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(6, 3, 7, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(6, 4, 2, 4)",22.0,80.0,0.044505713502615486,60,80.0
"(6, 4, 2, 4)",21.0,80.0,0.026035286032954994,240,80.0
"(6, 4, 2, 5)",22.0,80.0,0.044505713502615486,60,80.0
"(6, 4, 2, 5)",21.0,80.0,0.026035286032954994,240,80.0
"(6, 4, 3, 4)",22.0,80.0,0.044505713502615486,60,80.0
"(6, 4, 3, 4)",21.0,80.0,0.026035286032954994,240,80.0
"(6, 4, 3, 5)",22.0,80.0,0.044505713502615486,60,80.0
"(6, 4, 3, 5)",21.0,80.0,0.026035286032954994,240,80.0
"(6, 5, 2, 1)",16.0,19.0,0.03143339174622448,1440,19.0
"(6, 5, 2, 4)",22.0,80.0,0.044505713502615486,60,80.0
"(6, 5, 2, 4)",21.0,80.0,0.026035286032954994,240,80.0
"(6, 5, 3, 4)",22.0,80.0,0.044505713502615486,60,80.0
"(6, 5, 3, 4)",21.0,80.0,0.026035286032954994,240,80.0
"(6, 5, 6, 1)",16.0,19.0,0.03143339174622448,1440,19.0
"(6, 6, 2, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(6, 6, 3, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(6, 7, 2, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(6, 7, 3, 4)",87.0,285.0,0.01435474423971554,300,285.0
"(7, 2, 2, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(7, 2, 3, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(7, 2, 4, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(7, 2, 4, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(7, 2, 6, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(7, 2, 7, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(7, 3, 2, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(7, 3, 3, 4)",62.0,205.0,0.026651861038687635,300,205.0
"(7, 3, 4, 6)",90.0,285.0,0.03514367451825372,300,285.0
"(7, 3, 4, 7)",90.0,285.0,0.03514367451825372,300,285.0
"(7, 3, 6, 4)",132.0,419.0,0.0126285260746417,300,419.0
"(7, 3, 7, 4)",132.0,419.0,0.0126285260746417,300,419.0
