v,vw,o,c,h,l,t,n
400,22.03,22.03,22.03,22.03,22.03,1674742320000,1
679,22.0313,22.03,22.03,22.03,22.03,1674743400000,9
221,22.1243,22.12,22.12,22.12,22.12,1674744000000,6
232,22.0798,22.07,22.07,22.07,22.07,1674745080000,5
155,22.1152,22.115,22.115,22.115,22.115,1674745260000,2
229,22.0809,22.0601,22.0601,22.0601,22.0601,1674745800000,5
200,22.115,22.115,22.115,22.115,22.115,1674745920000,1
1041,22.0905,22.09,22.09,22.09,22.09,1674746700000,7
501,22.074,22.09,22.05,22.09,22.05,1674746820000,5
3084,22.07,22.07,22.07,22.07,22.07,1674748140000,2
150,22.07,22.07,22.07,22.07,22.07,1674750120000,1
400,22.06,22.06,22.06,22.06,22.06,1674751140000,1
650,22.0766,22.08,22.06,22.08,22.06,1674751440000,4
500,22.06,22.06,22.06,22.06,22.06,1674751620000,1
502,22.0931,22.07,22.1,22.1,22.07,1674751920000,7
500,22.0866,22.0866,22.0866,22.0866,22.0866,1674752220000,1
500,22.1,22.1,22.1,22.1,22.1,1674752340000,1
115,22.0913,22.09,22.09,22.09,22.09,1674752640000,2
500,22.09,22.09,22.09,22.09,22.09,1674753840000,1
100,22.05,22.05,22.05,22.05,22.05,1674755100000,1
540,22.06,22.06,22.06,22.06,22.06,1674755520000,3
101,22.05,22.05,22.05,22.05,22.05,1674755700000,2
204,22.0502,22.05,22.05,22.05,22.05,1674755880000,3
771,22.0481,22.0481,22.0481,22.0481,22.0481,1674756000000,2
200,22.05,22.05,22.05,22.05,22.05,1674756060000,2
100,22.05,22.05,22.05,22.05,22.05,1674756300000,1
321,22.0407,22.0401,22.04,22.0401,22.04,1674757140000,5
2000,22.0401,22.0401,22.0401,22.0401,22.0401,1674758400000,1
124,22.065,22.065,22.065,22.065,22.065,1674758520000,3
100,22.07,22.07,22.07,22.07,22.07,1674758700000,1
4171,22.1308,22.09,22.14,22.14,22.09,1674758760000,16
12065,22.0401,22.0401,22.0401,22.0401,22.0401,1674760260000,1
110,22.1331,22.14,22.14,22.14,22.14,1674760380000,3
301,22.1497,22.1499,22.1499,22.1499,22.1499,1674761940000,2
100,22.095,22.095,22.095,22.095,22.095,1674762300000,1
100,22.095,22.095,22.095,22.095,22.095,1674762660000,1
299,22.1171,22.095,22.14,22.14,22.095,1674763440000,4
226,22.095,22.095,22.095,22.095,22.095,1674763680000,1
101,22.1328,22.1335,22.1335,22.1335,22.1335,1674764040000,2
125,22.1499,22.1499,22.1499,22.1499,22.1499,1674765360000,1
386,22.0702,22.0701,22.0701,22.0701,22.0701,1674766200000,2
1705,22.0912,22.1,22.09,22.1,22.09,1674766740000,8
368,22.0602,22.06,22.06,22.06,22.06,1674829800000,2
257,22.0867,22.08,22.08,22.08,22.08,1674830400000,5
259,22.1499,22.15,22.15,22.15,22.15,1674832020000,4
105,22.13,22.13,22.13,22.13,22.13,1674832740000,3
681,22.1591,22.1595,22.1595,22.1595,22.1595,1674832920000,2
416,22.1356,22.15,22.13,22.15,22.13,1674833520000,4
100,22.0987,22.0987,22.0987,22.0987,22.0987,1674834360000,1
569,22.09,22.09,22.09,22.09,22.09,1674834420000,2
100,22.0987,22.0987,22.0987,22.0987,22.0987,1674834540000,1
100,22.062,22.062,22.062,22.062,22.062,1674835080000,1
323,22.0861,22.08,22.09,22.09,22.08,1674835500000,4
171,22.1236,22.13,22.13,22.13,22.13,1674835620000,4
449,22.0949,22.095,22.095,22.095,22.095,1674836340000,3
100,22.11,22.11,22.11,22.11,22.11,1674836460000,1
100,22.12,22.12,22.12,22.12,22.12,1674837420000,1
175,22.11,22.11,22.11,22.11,22.11,1674838020000,1
200,22.1223,22.1223,22.1223,22.1223,22.1223,1674838080000,1
100,22.12,22.12,22.12,22.12,22.12,1674838320000,1
2003,22.1136,22.1136,22.1136,22.1136,22.1136,1674838500000,3
112,22.1307,22.13,22.13,22.13,22.13,1674839160000,2
100,22.11,22.11,22.11,22.11,22.11,1674839460000,1
202,22.12,22.12,22.12,22.12,22.12,1674839700000,3
100,22.12,22.12,22.12,22.12,22.12,1674840000000,1
101,22.12,22.12,22.12,22.12,22.12,1674840420000,2
100,22.12,22.12,22.12,22.12,22.12,1674840720000,1
377,22.12,22.12,22.12,22.12,22.12,1674840960000,3
100,22.12,22.12,22.12,22.12,22.12,1674841200000,1
1100,22.12,22.12,22.12,22.12,22.12,1674841320000,7
1000,22.1101,22.1101,22.1101,22.1101,22.1101,1674841380000,1
100,22.12,22.12,22.12,22.12,22.12,1674841500000,1
100,22.12,22.12,22.12,22.12,22.12,1674841800000,1
102,22.1202,22.12,22.12,22.12,22.12,1674842100000,2
100,22.12,22.12,22.12,22.12,22.12,1674842400000,1
146,22.1101,22.11,22.11,22.11,22.11,1674842640000,3
100,22.0901,22.0901,22.0901,22.0901,22.0901,1674842760000,1
100,22.11,22.11,22.11,22.11,22.11,1674842940000,1
100,22.11,22.11,22.11,22.11,22.11,1674843000000,1
100,22.11,22.11,22.11,22.11,22.11,1674843600000,1
124,22.11,22.11,22.11,22.11,22.11,1674843900000,1
19858,22.0765,22.12,22.1,22.12,22.07,1674844560000,38
400,22.1299,22.13,22.1299,22.13,22.1299,1674845280000,4
200,22.12,22.12,22.12,22.12,22.12,1674846420000,2
2230,22.1192,22.13,22.11,22.13,22.11,1674846660000,4
100,22.13,22.13,22.13,22.13,22.13,1674846960000,1
100,22.0948,22.0948,22.0948,22.0948,22.0948,1674847800000,1
1001,22.1258,22.1263,22.1263,22.1263,22.1263,1674848280000,2
100,22.13,22.13,22.13,22.13,22.13,1674848400000,1
100,22.1128,22.1128,22.1128,22.1128,22.1128,1674848700000,1
233,22.13,22.13,22.13,22.13,22.13,1674848820000,2
201,22.1391,22.15,22.128,22.15,22.128,1674849000000,3
114,22.1586,22.1584,22.1584,22.1584,22.1584,1674849420000,2
860,22.1281,22.13,22.12,22.13,22.12,1674852000000,5
313,22.1208,22.12,22.12,22.12,22.12,1674852060000,2
1039,22.12,22.12,22.12,22.12,22.12,1674852600000,11
813,21.8103,21.81,21.81,21.81,21.81,1675083600000,5
1806,22.05,22.05,22.05,22.05,22.05,1675089000000,6
500,22.0985,22.0985,22.0985,22.0985,22.0985,1675090980000,1
100,22.1,22.1,22.1,22.1,22.1,1675092000000,1
220,22.1209,22.12,22.12,22.12,22.12,1675092540000,4
200,22.1299,22.13,22.1299,22.13,22.1299,1675092960000,2
181,22.105,22.105,22.105,22.105,22.105,1675094280000,1
500,22.121,22.105,22.13,22.13,22.105,1675095720000,4
600,22.1089,22.1282,22.105,22.1282,22.105,1675095780000,2
1200,22.1195,22.1299,22.1048,22.13,22.1048,1675095900000,5
500,22.13,22.13,22.13,22.13,22.13,1675095960000,1
2079,22.082,22.0801,22.0801,22.0801,22.0801,1675096020000,2
500,22.105,22.105,22.105,22.105,22.105,1675096260000,1
5218,22.1296,22.1299,22.1299,22.13,22.11,1675097400000,4
457,22.1,22.1,22.1,22.1,22.1,1675098000000,2
1132,22.1103,22.1,22.1184,22.1184,22.1,1675098300000,5
500,22.1247,22.12,22.14,22.14,22.12,1675098480000,6
24214,22.0711,22.09,22.07,22.09,22.07,1675098840000,20
720,22.1001,22.1001,22.1001,22.1001,22.1001,1675101240000,1
100,22.1,22.1,22.1,22.1,22.1,1675101660000,1
1221,22.0957,22.14,22.06,22.1401,22.06,1675101840000,15
101,22.12,22.12,22.12,22.12,22.12,1675102080000,1
501,22.1202,22.12,22.12,22.12,22.12,1675103580000,5
520,22.1233,22.1219,22.1219,22.1219,22.1219,1675104060000,4
500,22.12,22.12,22.12,22.12,22.12,1675105140000,1
330,22.12,22.12,22.12,22.12,22.12,1675105380000,1
157,22.0661,22.0661,22.0661,22.0661,22.0661,1675106220000,1
225,22.1105,22.1105,22.1105,22.1105,22.1105,1675106400000,1
700,22.12,22.12,22.12,22.12,22.12,1675106820000,1
500,22.12,22.12,22.12,22.12,22.12,1675106940000,1
751,22.1507,22.12,22.18,22.18,22.12,1675107060000,6
226,22.1116,22.1118,22.1118,22.1118,22.1118,1675108560000,2
125,22.12,22.12,22.12,22.12,22.12,1675109100000,1
437,22.0901,22.09,22.09,22.09,22.09,1675109520000,2
293,22.0685,22.06,22.06,22.06,22.06,1675110180000,7
710,22.1039,22.09,22.11,22.11,22.09,1675111440000,10
151,22.05,22.05,22.05,22.05,22.05,1675115940000,1
649,22.18,22.18,22.18,22.18,22.18,1675175400000,1
196,22.1648,22.1886,22.1886,22.1886,22.1886,1675175760000,4
143,22.1346,22.135,22.135,22.135,22.135,1675175820000,2
102,22.1301,22.13,22.13,22.13,22.13,1675175880000,3
872,22.13,22.13,22.13,22.13,22.13,1675175940000,1
662,22.1365,22.125,22.1799,22.1799,22.125,1675176000000,5
380,22.1479,22.15,22.15,22.15,22.15,1675176540000,3
244,22.0801,22.0801,22.0801,22.0801,22.0801,1675177080000,1
115,22.0898,22.0898,22.0898,22.0898,22.0898,1675177140000,1
200,22.085,22.08,22.09,22.09,22.08,1675177320000,2
217,22.07,22.07,22.07,22.07,22.07,1675178280000,1
200,22.0999,22.0999,22.0999,22.0999,22.0999,1675178700000,1
299,22.0827,22.0828,22.0828,22.0828,22.0828,1675178760000,4
100,22.1,22.1,22.1,22.1,22.1,1675178880000,1
100,22.08,22.08,22.08,22.08,22.08,1675178940000,1
200,22.1,22.1,22.0999,22.1,22.0999,1675179780000,2
388,22.1,22.1,22.1,22.1,22.1,1675180440000,1
2100,22.0779,22.11,22.07,22.11,22.07,1675181820000,9
2262,22.13,22.13,22.13,22.13,22.13,1675181880000,1
2259,22.13,22.13,22.13,22.13,22.13,1675182000000,1
452,22.135,22.135,22.135,22.135,22.135,1675182900000,2
971,22.0804,22.08,22.0801,22.0801,22.08,1675183560000,10
100,22.1,22.1,22.1,22.1,22.1,1675184880000,1
1000,22.0912,22.0912,22.0912,22.0912,22.0912,1675185420000,1
1841,22.1116,22.1116,22.1116,22.1116,22.1116,1675185720000,2
701,22.13,22.13,22.13,22.13,22.13,1675186500000,1
500,22.13,22.13,22.13,22.13,22.13,1675191600000,1
1998,22.111,22.11,22.113,22.113,22.11,1675192440000,11
1005,22.11,22.1101,22.1101,22.1101,22.11,1675193400000,5
501,22.13,22.13,22.13,22.13,22.13,1675193820000,1
150,22.11,22.11,22.11,22.11,22.11,1675193940000,1
201,22.1002,22.1,22.1,22.1,22.1,1675194180000,2
101,22.1,22.1,22.1,22.1,22.1,1675194240000,2
100,22.1196,22.1196,22.1196,22.1196,22.1196,1675194480000,1
115,22.1,22.1,22.1,22.1,22.1,1675194540000,1
333,22.1,22.1,22.1,22.1,22.1,1675195020000,3
284,22.1338,22.15,22.15,22.15,22.15,1675197240000,3
110,22.1208,22.12,22.12,22.12,22.12,1675198620000,3
223,22.12,22.12,22.12,22.12,22.12,1675198740000,3
16191,22.15,22.15,22.15,22.15,22.15,1675261800000,3
479,22.167,22.16,22.168,22.17,22.16,1675262160000,6
378,22.1201,22.12,22.12,22.12,22.12,1675262580000,4
1110,22.0841,22.09,22.08,22.09,22.08,1675262700000,9
463,22.1338,22.15,22.12,22.15,22.12,1675262820000,2
401,22.155,22.15,22.16,22.16,22.15,1675263000000,5
3384,22.1691,22.15,22.18,22.18,22.15,1675263060000,21
1374,22.17,22.17,22.17,22.17,22.17,1675263180000,14
911,22.1151,22.115,22.115,22.115,22.115,1675263600000,2
200,22.1465,22.125,22.168,22.168,22.125,1675264020000,2
227,22.1552,22.1534,22.1534,22.1534,22.1534,1675264140000,3
200,22.125,22.125,22.125,22.125,22.125,1675264440000,1
400,22.17,22.17,22.17,22.17,22.17,1675265640000,4
100,22.17,22.17,22.17,22.17,22.17,1675265820000,1
505,22.175,22.175,22.175,22.175,22.175,1675265940000,7
101,22.175,22.175,22.175,22.175,22.175,1675266000000,2
1125,22.1712,22.1712,22.1712,22.1712,22.1712,1675266060000,1
5109,22.17,22.17,22.17,22.17,22.17,1675266240000,9
348,22.1099,22.11,22.11,22.11,22.11,1675266600000,3
502,22.11,22.11,22.11,22.11,22.11,1675266960000,6
200,22.1099,22.1099,22.11,22.11,22.1099,1675267320000,2
560,22.0914,22.09,22.09,22.09,22.09,1675267380000,4
760,22.1197,22.12,22.12,22.12,22.12,1675267440000,9
800,22.075,22.075,22.075,22.075,22.075,1675268460000,1
421,22.1189,22.1199,22.1199,22.1199,22.1199,1675269600000,4
2752,22.0809,22.08,22.08,22.09,22.08,1675269840000,11
176,22.0816,22.08,22.08,22.08,22.08,1675269900000,3
800,22.1199,22.1199,22.1199,22.1199,22.1199,1675271400000,1
2129,22.0805,22.08,22.08,22.09,22.08,1675271940000,3
100,22.105,22.105,22.105,22.105,22.105,1675273440000,1
3730,22.1041,22.1041,22.1041,22.1041,22.1041,1675274460000,1
5090,22.0835,22.105,22.08,22.105,22.08,1675274700000,12
7935,22.0565,22.06,22.0501,22.06,22.05,1675274760000,31
2807,22.06,22.06,22.06,22.06,22.06,1675274880000,13
901,22.0672,22.07,22.065,22.07,22.065,1675276260000,6
200,22.065,22.065,22.065,22.065,22.065,1675276800000,1
204,22.065,22.065,22.065,22.065,22.065,1675278480000,2
300,22.0733,22.08,22.07,22.08,22.07,1675279740000,2
102,22.07,22.07,22.07,22.07,22.07,1675279800000,2
100,22.08,22.08,22.08,22.08,22.08,1675280220000,1
100,22.11,22.11,22.11,22.11,22.11,1675280340000,1
2258,22.1128,22.1,22.12,22.12,22.1,1675280760000,8
125,22.1,22.1,22.1,22.1,22.1,1675280820000,1
530,22.1758,22.17,22.18,22.18,22.17,1675280880000,6
500,22.15,22.15,22.15,22.15,22.15,1675281180000,1
3086,22.18,22.18,22.18,22.18,22.18,1675282080000,3
500,22.16,22.16,22.16,22.16,22.16,1675282140000,3
700,22.1899,22.1899,22.1899,22.1899,22.1899,1675282560000,1
250,22.155,22.155,22.155,22.155,22.155,1675282620000,1
125,22.1899,22.1899,22.1899,22.1899,22.1899,1675283460000,1
1200,22.1733,22.17,22.19,22.19,22.17,1675283880000,3
1000,22.1899,22.19,22.19,22.19,22.19,1675284120000,3
201,22.1751,22.18,22.17,22.18,22.17,1675284300000,3
160,22.1867,22.19,22.19,22.19,22.19,1675284540000,5
500,22.19,22.19,22.19,22.19,22.19,1675285080000,1
411,22.183,22.18,22.19,22.19,22.18,1675285140000,5
100,22.2,22.2,22.2,22.2,22.2,1675289640000,1
717,22.1995,22.2,22.2,22.2,22.2,1675348200000,7
617,22.1653,22.1653,22.1653,22.1653,22.1653,1675348320000,2
851,22.17,22.17,22.17,22.17,22.17,1675348380000,2
189,22.1129,22.11,22.11,22.11,22.11,1675348440000,9
1118,22.1224,22.1254,22.12,22.1254,22.12,1675348620000,5
600,22.0592,22.06,22.05,22.06,22.05,1675348680000,9
200,22.125,22.125,22.125,22.125,22.125,1675349100000,1
501,22.12,22.12,22.1201,22.1201,22.12,1675350060000,3
150,22.16,22.16,22.16,22.16,22.16,1675350300000,1
1261,22.105,22.1,22.125,22.125,22.1,1675350780000,3
203,22.125,22.1243,22.1243,22.1243,22.1243,1675350900000,3
775,22.1789,22.18,22.1799,22.18,22.1799,1675351200000,12
734,22.14,22.14,22.14,22.14,22.14,1675351320000,1
1008,22.1404,22.1401,22.1401,22.1401,22.1401,1675353300000,4
181,22.1798,22.18,22.18,22.18,22.18,1675353420000,4
1125,22.16,22.16,22.16,22.16,22.16,1675353600000,1
100,22.175,22.175,22.175,22.175,22.175,1675354140000,1
280,22.1636,22.17,22.17,22.17,22.17,1675354740000,3
300,22.18,22.175,22.19,22.19,22.175,1675354860000,3
1096,22.175,22.175,22.175,22.175,22.175,1675354980000,1
900,22.1787,22.1787,22.1787,22.1787,22.1787,1675355280000,1
4766,22.1625,22.175,22.16,22.175,22.16,1675355580000,17
351,22.1801,22.175,22.184,22.184,22.175,1675355760000,4
250,22.1729,22.1711,22.1711,22.1711,22.1711,1675355880000,2
794,22.1838,22.175,22.1864,22.1864,22.175,1675360080000,6
1318,22.1733,22.1733,22.1733,22.1733,22.1733,1675360260000,1
243,22.175,22.175,22.175,22.175,22.175,1675360320000,2
101,22.175,22.175,22.175,22.175,22.175,1675360740000,1
1127,22.1803,22.1803,22.1803,22.1803,22.1803,1675360800000,1
200,22.1823,22.1823,22.1823,22.1823,22.1823,1675361040000,2
101,22.17,22.17,22.17,22.17,22.17,1675361100000,2
226,22.171,22.1709,22.1709,22.1709,22.1709,1675362360000,2
136,22.18,22.18,22.18,22.18,22.18,1675362600000,3
197,22.1751,22.18,22.18,22.18,22.18,1675362960000,2
1155,22.1688,22.16,22.17,22.17,22.16,1675363080000,5
1297,22.17,22.17,22.17,22.17,22.17,1675363200000,5
300,22.17,22.17,22.17,22.17,22.17,1675364640000,3
100,22.17,22.17,22.17,22.17,22.17,1675365540000,1
300,22.1899,22.1899,22.1899,22.1899,22.1899,1675365600000,1
501,22.17,22.17,22.17,22.17,22.17,1675366320000,3
1226,22.1696,22.17,22.17,22.17,22.17,1675366860000,3
217,22.1561,22.1561,22.1561,22.1561,22.1561,1675366920000,3
200,22.17,22.17,22.17,22.17,22.17,1675367100000,2
217,22.1662,22.18,22.15,22.18,22.15,1675368180000,2
103,22.1409,22.14,22.14,22.14,22.14,1675368960000,3
100,22.17,22.17,22.17,22.17,22.17,1675369980000,1
1301,22.1486,22.1452,22.16,22.16,22.1452,1675370100000,4
505,22.1599,22.16,22.16,22.16,22.16,1675370160000,5
894,22.16,22.16,22.16,22.16,22.16,1675370220000,3
251,22.181,22.17,22.17,22.17,22.17,1675371540000,5
9751,22.19,22.19,22.19,22.19,22.19,1675434600000,11
455,22.1519,22.1514,22.1514,22.1514,22.1514,1675434900000,2
142,22.17,22.17,22.17,22.17,22.17,1675435020000,2
643,22.1778,22.18,22.17,22.18,22.17,1675435260000,4
1523,22.2,22.2,22.2,22.2,22.2,1675435440000,8
503,22.2391,22.24,22.24,22.24,22.24,1675435620000,3
300,22.225,22.225,22.225,22.225,22.225,1675435860000,1
281,22.1807,22.187,22.18,22.187,22.18,1675436100000,5
227,22.1623,22.1611,22.1611,22.1611,22.1611,1675436340000,3
224,22.2371,22.24,22.24,22.24,22.24,1675437120000,4
140,22.2394,22.24,22.24,22.24,22.24,1675437180000,2
300,22.24,22.24,22.24,22.24,22.24,1675437300000,3
200,22.23,22.2399,22.22,22.2399,22.22,1675438320000,2
101,22.2004,22.2,22.2,22.2,22.2,1675438380000,2
220,22.2499,22.25,22.25,22.25,22.25,1675438680000,3
115,22.2282,22.225,22.225,22.225,22.225,1675439640000,3
241,22.221,22.2211,22.2211,22.2211,22.2211,1675439880000,2
441,22.2162,22.2161,22.2161,22.2161,22.2161,1675440120000,2
131,22.2493,22.25,22.25,22.25,22.25,1675440240000,3
200,22.225,22.225,22.225,22.225,22.225,1675440660000,1
100,22.22,22.22,22.22,22.22,22.22,1675441680000,1
100,22.225,22.225,22.225,22.225,22.225,1675442220000,1
271,22.1874,22.2175,22.1501,22.2175,22.1501,1675442340000,4
233,22.2073,22.2,22.2153,22.2153,22.2,1675442460000,7
199,22.215,22.215,22.215,22.215,22.215,1675443540000,1
676,22.2001,22.2,22.2,22.2,22.2,1675444380000,3
935,22.2001,22.2,22.2,22.2,22.2,1675445340000,5
100,22.24,22.24,22.24,22.24,22.24,1675446900000,1
100,22.24,22.24,22.24,22.24,22.24,1675447680000,1
547,22.225,22.225,22.225,22.225,22.225,1675450380000,1
200,22.239,22.24,22.238,22.24,22.238,1675450920000,2
100,22.2223,22.2223,22.2223,22.2223,22.2223,1675453380000,1
110,22.2386,22.24,22.24,22.24,22.24,1675453560000,2
400,22.24,22.24,22.24,22.24,22.24,1675455240000,4
441,22.2397,22.24,22.24,22.24,22.24,1675455360000,6
3417,22.24,22.24,22.24,22.24,22.24,1675455540000,35
101,22.235,22.235,22.235,22.235,22.235,1675455900000,2
100,22.2345,22.2345,22.2345,22.2345,22.2345,1675457700000,1
270,22.2462,22.24,22.25,22.25,22.24,1675457940000,4
1881,22.1731,22.17,22.17,22.17,22.17,1675693800000,20
468,22.2314,22.23,22.234,22.234,22.23,1675694400000,6
103,22.2203,22.22,22.22,22.22,22.22,1675694640000,3
7046,22.235,22.235,22.235,22.235,22.235,1675695360000,3
379,22.235,22.235,22.235,22.235,22.235,1675695480000,1
463,22.235,22.235,22.235,22.235,22.235,1675695660000,2
100,22.22,22.22,22.22,22.22,22.22,1675696440000,1
470,22.2199,22.22,22.22,22.22,22.22,1675697460000,9
604,22.2103,22.225,22.21,22.225,22.21,1675699440000,8
5452,22.2198,22.22,22.22,22.22,22.21,1675699620000,55
100,22.16,22.16,22.16,22.16,22.16,1675700280000,1
100,22.19,22.19,22.19,22.19,22.19,1675701000000,1
100,22.1984,22.1984,22.1984,22.1984,22.1984,1675701240000,1
6781,22.2194,22.22,22.2194,22.22,22.2194,1675701780000,6
375,22.2158,22.2194,22.22,22.22,22.2194,1675702080000,5
2093,22.209,22.22,22.24,22.24,22.19,1675702500000,11
1026,22.1718,22.17,22.17,22.17,22.17,1675703100000,3
300,22.2037,22.2037,22.2037,22.2037,22.2037,1675705140000,1
250,22.24,22.24,22.24,22.24,22.24,1675705980000,1
4996,22.2497,22.25,22.2495,22.25,22.2495,1675710600000,20
1000,22.2496,22.2496,22.2496,22.2496,22.2496,1675710960000,1
766,22.2322,22.225,22.2423,22.2423,22.225,1675711020000,2
1272,22.2421,22.225,22.2443,22.25,22.225,1675711140000,8
100,22.2501,22.2501,22.2501,22.2501,22.2501,1675711560000,1
655,22.2699,22.27,22.2698,22.27,22.2698,1675711740000,3
110,22.2603,22.26,22.26,22.26,22.26,1675712460000,2
100,22.25,22.25,22.25,22.25,22.25,1675712520000,1
100,22.26,22.26,22.26,22.26,22.26,1675713000000,1
500,22.2602,22.2605,22.26,22.2605,22.26,1675713060000,5
100,22.26,22.26,22.26,22.26,22.26,1675713600000,1
100,22.2605,22.2605,22.2605,22.2605,22.2605,1675713960000,1
100,22.26,22.26,22.26,22.26,22.26,1675714320000,1
100,22.26,22.26,22.26,22.26,22.26,1675714500000,1
691,22.2586,22.26,22.25,22.26,22.25,1675714560000,2
118,22.26,22.26,22.26,22.26,22.26,1675714800000,1
200,22.255,22.26,22.25,22.26,22.25,1675715040000,2
2013,22.25,22.25,22.25,22.25,22.25,1675715160000,1
100,22.25,22.25,22.25,22.25,22.25,1675716240000,1
2124,22.32,22.32,22.32,22.32,22.32,1675780200000,4
150,22.26,22.26,22.26,22.26,22.26,1675781040000,2
102,22.2652,22.2653,22.2653,22.2653,22.2653,1675781280000,3
203,22.26,22.26,22.26,22.26,22.26,1675781400000,4
100,22.27,22.27,22.27,22.27,22.27,1675781460000,1
100,22.27,22.27,22.27,22.27,22.27,1675781760000,1
401,22.2706,22.2726,22.27,22.2726,22.27,1675782000000,3
200,22.2515,22.2515,22.2515,22.2515,22.2515,1675783680000,1
100,22.25,22.25,22.25,22.25,22.25,1675784700000,1
102,22.2658,22.2661,22.2661,22.2661,22.2661,1675785660000,3
2099,22.2411,22.22,22.26,22.26,22.22,1675786680000,5
1016,22.2242,22.222,22.22,22.2296,22.22,1675787220000,7
600,22.26,22.26,22.26,22.26,22.26,1675790400000,3
125,22.2999,22.2999,22.2999,22.2999,22.2999,1675792560000,1
858,22.2983,22.295,22.3,22.3,22.295,1675792620000,7
993,22.2601,22.26,22.26,22.26,22.26,1675794600000,6
300,22.24,22.24,22.24,22.24,22.24,1675795080000,1
100,22.25,22.25,22.25,22.25,22.25,1675795980000,1
109,22.2349,22.23,22.23,22.23,22.23,1675796220000,2
231,22.26,22.26,22.26,22.26,22.26,1675796340000,3
509,22.2443,22.2441,22.2441,22.2441,22.2441,1675797720000,3
202,22.2872,22.2875,22.2875,22.2875,22.2875,1675798260000,3
2071,22.2864,22.2867,22.2867,22.2867,22.2867,1675798560000,4
600,22.3153,22.29,22.346,22.346,22.29,1675798920000,4
137,22.3187,22.3187,22.3187,22.3187,22.3187,1675799820000,1
450,22.3699,22.3699,22.3699,22.3699,22.3699,1675800180000,1
335,22.3164,22.3164,22.3164,22.3164,22.3164,1675800300000,3
2368,22.3442,22.3442,22.3442,22.3442,22.3442,1675800420000,1
401,22.328,22.32,22.352,22.352,22.32,1675800600000,4
170,22.3112,22.29,22.29,22.29,22.29,1675801440000,2
283,22.2311,22.23,22.23,22.23,22.23,1675803540000,2
604,22.3894,22.39,22.39,22.39,22.39,1675866600000,5
626,22.2904,22.29,22.29,22.29,22.29,1675867260000,2
336,22.29,22.29,22.29,22.29,22.29,1675867380000,5
448,22.34,22.34,22.34,22.34,22.34,1675870200000,2
500,22.3305,22.33,22.3325,22.3325,22.33,1675871040000,2
2240,22.3306,22.33,22.33,22.334,22.33,1675871340000,12
541,22.3786,22.3799,22.3799,22.3799,22.3799,1675872000000,2
410,22.3388,22.3388,22.3388,22.3388,22.3388,1675872660000,1
160,22.33,22.33,22.33,22.33,22.33,1675873260000,1
1375,22.3529,22.3535,22.3535,22.3535,22.3535,1675873440000,5
700,22.3699,22.3699,22.3699,22.3699,22.3699,1675874040000,2
155,22.29,22.29,22.29,22.29,22.29,1675874880000,5
200,22.2716,22.2716,22.2716,22.2716,22.2716,1675875180000,1
100,22.2887,22.2887,22.2887,22.2887,22.2887,1675875360000,1
965,22.26,22.26,22.26,22.26,22.26,1675875600000,5
300,22.32,22.32,22.32,22.32,22.32,1675875720000,2
375,22.364,22.364,22.364,22.364,22.364,1675876260000,1
425,22.32,22.32,22.32,22.32,22.32,1675876500000,2
195,22.2898,22.2898,22.2898,22.2898,22.2898,1675876680000,3
401,22.3199,22.3199,22.3199,22.3199,22.3199,1675877100000,2
201,22.2867,22.2866,22.2866,22.2866,22.2866,1675877280000,2
10320,22.2604,22.27,22.26,22.27,22.26,1675877880000,11
416,22.3004,22.3,22.3,22.3,22.3,1675878480000,4
501,22.32,22.32,22.32,22.32,22.32,1675878840000,2
100,22.2701,22.2701,22.2701,22.2701,22.2701,1675879200000,1
300,22.3007,22.3007,22.3007,22.3007,22.3007,1675882200000,1
546,22.2763,22.2763,22.2763,22.2763,22.2763,1675882380000,1
115,22.31,22.31,22.31,22.31,22.31,1675882620000,1
100,22.295,22.295,22.295,22.295,22.295,1675882980000,1
1001,22.29,22.29,22.29,22.29,22.29,1675884540000,2
100,22.26,22.26,22.26,22.26,22.26,1675885320000,1
100,22.26,22.26,22.26,22.26,22.26,1675885380000,1
650,22.32,22.32,22.32,22.32,22.32,1675885440000,1
250,22.32,22.32,22.32,22.32,22.32,1675886220000,1
525,22.285,22.285,22.285,22.285,22.285,1675886280000,2
558,22.2814,22.2828,22.2828,22.2828,22.2828,1675887000000,2
781,22.2884,22.28,22.29,22.29,22.28,1675887360000,4
3800,22.2485,22.2501,22.24,22.2501,22.24,1675887780000,15
583,22.2417,22.25,22.24,22.25,22.24,1675888020000,4
100,22.27,22.27,22.27,22.27,22.27,1675888200000,1
100,22.2734,22.2734,22.2734,22.2734,22.2734,1675888260000,1
650,22.2586,22.27,22.2449,22.27,22.2449,1675888440000,4
581,22.2786,22.275,22.275,22.285,22.275,1675888680000,8
225,22.3199,22.3199,22.3199,22.3199,22.3199,1675889580000,1
293,22.2368,22.25,22.23,22.25,22.23,1675889940000,3
1452,22.3894,22.39,22.39,22.39,22.39,1675953000000,10
800,22.35,22.35,22.35,22.35,22.35,1675953360000,2
192,22.3602,22.36,22.36,22.36,22.36,1675953420000,3
101,22.3552,22.355,22.355,22.355,22.355,1675953480000,2
100,22.35,22.35,22.35,22.35,22.35,1675954080000,1
201,22.36,22.36,22.36,22.36,22.36,1675954560000,1
500,22.3618,22.36,22.364,22.364,22.36,1675954620000,3
500,22.3642,22.3642,22.3642,22.3642,22.3642,1675954920000,1
100,22.35,22.35,22.35,22.35,22.35,1675956120000,1
