,date,volume
198,2025-01-27,212400.0
199,2025-01-28,245942.0
200,2025-01-29,239894.0
201,2025-01-30,382902.0
202,2025-01-31,323118.0
203,2025-02-03,560145.0
204,2025-02-04,524139.0
205,2025-02-05,258626.0
206,2025-02-06,226888.0
207,2025-02-07,478808.0
208,2025-02-10,997312.0
209,2025-02-11,443106.0
210,2025-02-12,499233.0
211,2025-02-13,1058366.0
212,2025-02-14,2554229.0
213,2025-02-18,942014.0
214,2025-02-19,479134.0
215,2025-02-20,534989.0
216,2025-02-21,478356.0
217,2025-02-24,404980.0
218,2025-02-25,518009.0
219,2025-02-26,531366.0
220,2025-02-27,560687.0
221,2025-02-28,472514.0
222,2025-03-03,394797.0
223,2025-03-04,595160.0
224,2025-03-05,806057.0
225,2025-03-06,617160.0
226,2025-03-07,824157.0
227,2025-03-10,1043428.0
228,2025-03-11,545759.0
229,2025-03-12,481111.0
230,2025-03-13,497023.0
231,2025-03-14,485159.0
232,2025-03-17,379157.0
233,2025-03-18,431799.0
234,2025-03-19,919016.0
235,2025-03-20,546108.0
236,2025-03-21,880757.0
237,2025-03-24,631982.0
238,2025-03-25,318228.0
239,2025-03-26,279459.0
240,2025-03-27,328590.0
241,2025-03-28,430537.0
242,2025-03-31,423473.0
243,2025-04-01,431009.0
244,2025-04-02,435190.0
245,2025-04-03,1091146.0
246,2025-04-04,1006547.0
247,2025-04-07,1533148.0
248,2025-04-08,1020055.0
249,2025-04-09,1484640.0
250,2025-04-10,354394.0
