,date,volume
0,2024-04-11,329848.0
1,2024-04-12,459303.0
2,2024-04-15,497932.0
3,2024-04-16,554372.0
4,2024-04-17,366533.0
5,2024-04-18,448684.0
6,2024-04-19,598996.0
7,2024-04-22,566912.0
8,2024-04-23,980990.0
9,2024-04-24,596599.0
10,2024-04-25,1008074.0
11,2024-04-26,2220943.0
12,2024-04-29,1474518.0
13,2024-04-30,889019.0
14,2024-05-01,609468.0
15,2024-05-02,407109.0
16,2024-05-03,535745.0
17,2024-05-06,454085.0
18,2024-05-07,333272.0
19,2024-05-08,251893.0
20,2024-05-09,296154.0
21,2024-05-10,473540.0
22,2024-05-13,620124.0
23,2024-05-14,1652190.0
24,2024-05-15,538052.0
25,2024-05-16,340939.0
26,2024-05-17,265755.0
27,2024-05-20,649218.0
28,2024-05-21,388059.0
29,2024-05-22,283003.0
30,2024-05-23,526812.0
31,2024-05-24,266216.0
32,2024-05-28,367242.0
33,2024-05-29,384266.0
34,2024-05-30,418222.0
35,2024-05-31,345565.0
36,2024-06-03,624814.0
37,2024-06-04,420306.0
38,2024-06-05,266506.0
39,2024-06-06,396904.0
40,2024-06-07,423618.0
41,2024-06-10,296916.0
42,2024-06-11,362727.0
43,2024-06-12,927347.0
44,2024-06-13,850944.0
45,2024-06-14,497182.0
46,2024-06-17,480012.0
47,2024-06-18,401269.0
48,2024-06-20,549680.0
49,2024-06-21,326887.0
50,2024-06-24,268472.0
51,2024-06-25,273542.0
52,2024-06-26,694182.0
53,2024-06-27,759812.0
54,2024-06-28,731213.0
55,2024-07-01,739778.0
56,2024-07-02,454052.0
57,2024-07-03,269812.0
58,2024-07-05,479763.0
59,2024-07-08,472081.0
60,2024-07-09,422737.0
61,2024-07-10,472200.0
62,2024-07-11,517771.0
63,2024-07-12,435903.0
64,2024-07-15,525108.0
65,2024-07-16,565289.0
66,2024-07-17,655167.0
67,2024-07-18,557120.0
68,2024-07-19,410126.0
69,2024-07-22,526433.0
70,2024-07-23,351118.0
71,2024-07-24,1435202.0
72,2024-07-25,475623.0
73,2024-07-26,440763.0
74,2024-07-29,311692.0
75,2024-07-30,428164.0
76,2024-07-31,522665.0
77,2024-08-01,1024227.0
78,2024-08-02,1272779.0
79,2024-08-05,1166230.0
80,2024-08-06,754335.0
81,2024-08-07,837145.0
82,2024-08-08,732319.0
83,2024-08-09,334963.0
84,2024-08-12,396874.0
85,2024-08-13,519876.0
86,2024-08-14,385910.0
87,2024-08-15,663352.0
88,2024-08-16,307014.0
89,2024-08-19,465338.0
90,2024-08-20,303176.0
91,2024-08-21,342922.0
92,2024-08-22,295360.0
93,2024-08-23,1428022.0
94,2024-08-26,580417.0
95,2024-08-27,363332.0
96,2024-08-28,524058.0
97,2024-08-29,485034.0
98,2024-08-30,835470.0
99,2024-09-03,430270.0
100,2024-09-04,387916.0
101,2024-09-05,732451.0
102,2024-09-06,502404.0
103,2024-09-09,364523.0
104,2024-09-10,271010.0
105,2024-09-11,850407.0
106,2024-09-12,1107758.0
107,2024-09-13,482333.0
108,2024-09-16,311735.0
109,2024-09-17,401611.0
110,2024-09-18,993502.0
111,2024-09-19,600208.0
112,2024-09-20,551304.0
113,2024-09-23,393206.0
114,2024-09-24,510929.0
115,2024-09-25,397283.0
116,2024-09-26,701571.0
117,2024-09-27,402026.0
118,2024-09-30,388478.0
119,2024-10-01,474869.0
120,2024-10-02,360276.0
121,2024-10-03,350193.0
122,2024-10-04,298209.0
123,2024-10-07,432093.0
124,2024-10-08,370673.0
125,2024-10-09,417894.0
126,2024-10-10,285996.0
127,2024-10-11,297542.0
128,2024-10-14,464206.0
129,2024-10-15,396573.0
130,2024-10-16,435317.0
131,2024-10-17,276046.0
132,2024-10-18,407911.0
133,2024-10-21,502458.0
134,2024-10-22,230272.0
135,2024-10-23,439878.0
136,2024-10-24,283297.0
137,2024-10-25,287482.0
138,2024-10-28,246571.0
139,2024-10-29,269923.0
140,2024-10-30,711347.0
141,2024-10-31,3257840.0
142,2024-11-01,910588.0
143,2024-11-04,946574.0
144,2024-11-05,727460.0
145,2024-11-06,595043.0
146,2024-11-07,371172.0
147,2024-11-08,478399.0
148,2024-11-11,559923.0
149,2024-11-12,413938.0
150,2024-11-13,377684.0
151,2024-11-14,348549.0
152,2024-11-15,716502.0
153,2024-11-18,703067.0
154,2024-11-19,409586.0
155,2024-11-20,1212996.0
156,2024-11-21,380959.0
157,2024-11-22,534117.0
158,2024-11-25,598959.0
159,2024-11-26,488617.0
160,2024-11-27,353456.0
161,2024-11-29,222623.0
162,2024-12-02,1283831.0
163,2024-12-03,517605.0
164,2024-12-04,1745467.0
165,2024-12-05,714603.0
166,2024-12-06,468939.0
167,2024-12-09,626738.0
168,2024-12-10,375230.0
169,2024-12-11,410974.0
170,2024-12-12,258800.0
171,2024-12-13,312153.0
172,2024-12-16,249505.0
173,2024-12-17,325773.0
174,2024-12-18,497428.0
175,2024-12-19,377910.0
176,2024-12-20,448357.0
177,2024-12-23,285754.0
178,2024-12-24,92198.0
179,2024-12-26,186904.0
180,2024-12-27,332789.0
181,2024-12-30,314801.0
182,2024-12-31,263253.0
183,2025-01-02,292251.0
184,2025-01-03,370930.0
185,2025-01-06,333293.0
186,2025-01-07,556431.0
187,2025-01-08,818806.0
188,2025-01-10,631046.0
189,2025-01-13,376637.0
190,2025-01-14,388341.0
191,2025-01-15,288773.0
192,2025-01-16,293725.0
193,2025-01-17,251764.0
194,2025-01-21,551610.0
195,2025-01-22,350014.0
196,2025-01-23,430122.0
197,2025-01-24,347935.0
